Name:,Sapphire Theatrix,,,,v9.09,,,,,,,CURRENT DATA
record,199,,rewind,30 - rewind,,,,,,,,
my music,243,,fast fwd,31 - fast fwd,,,,,,,,
my pictures,244,,stop,32 - stop,,,,,,,,
my videos,245,,record,33 - record,,,,,,,,
prev track/inst replay,193,,exit,19 - exit,,,,,,,,
next track/skip ahead,192,,surround,,,,,,,,,
,,,audio/CC,34 - my music,,,,,,,,
For Future Use,,,+100,,,,,,,,,
radio,194,,fav/scan,,,,,,,,,
sap,252,,device button,,,,,,,,,
teletext/cc,253,,advance,38 - next track/skip ahead,,,,,,,,
last ch,254,,replay,37 - prev track/inst replay,,,,,,,,
subtitle,251,,next track,,,,,,,,,
laguage,249,,prev track,,,,,,,,,
angle,248,,PVR menu (blue),17 - home,,,,,,,,
,,,subtitle,,,,,,,,,
,,,slow,,,,,,,,,
,,,thumbs up (green),36 - my videos,,,,,,,,
,,,thumbs down (red),35 - my pictures,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Upgrade protocol 0 = 01 FF (S3C8+) Sapphire Theatrix (PB v3.11),,,,,,,,,,,,,
 44 8C 11 8B 13 7E 02 B1 00 C6 00 EE 00 58 00 65 ,,,,,,,,,,,,,
 40 80 51 A2 15 2A 54 A8 1C 08 28 04 10 C2 FB 05 ,,,,,,,,,,,,,
 87 31 1B B2 B3 1A F5 E4 03 07 B9 03 B0 05 B0 06 ,,,,,,,,,,,,,
 F6 FF 4B E6 06 04 B6 03 40 F6 FF 4B F6 01 0A 7B ,,,,,,,,,,,,,
 F8 E6 06 08 B6 03 C0 F6 FF 4B AF 1C 12 F6 01 4C ,,,,,,,,,,,,,
 6C 05 87 36 02 5C 04 1C 16 F6 01 4C B8 C3 56 CB ,,,,,,,,,,,,,
 03 BE 1C 1A F6 01 6D BA F9 E0 C3 E0 C3 5A E8 6A ,,,,,,,,,,,,,
 E1 1C 16 F6 01 4C C6 F8 7B D4 F6 01 58 AF,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Upgrade protocol 0 = 01 FF (HCS08) Sapphire Theatrix (PB v4.00) ,,,,,,,,,,,,,
20 16 23 47 11 00 02 B1 00 DB 00 EE 00 6B 00 70 ,,,,,,,,,,,,,
40 80 51 A2 15 2A 54 A8 4E 61 63 AE 08 8C A6 7E ,,,,,,,,,,,,,
39 61 24 02 E8 73 5B F8 35 61 AD 15 14 61 A6 40 ,,,,,,,,,,,,,
B8 64 B7 64 AD 0D CD FF 92 25 F9 38 61 A6 C0 B8 ,,,,,,,,,,,,,
64 B7 64 45 00 6A AD 32 AE 60 6E 05 68 8C 7E 67 ,,,,,,,,,,,,,
89 6E 04 66 AD 21 B6 67 34 67 34 67 A4 03 87 AE ,,,,,,,,,,,,,
72 CD FF 83 86 4A 2A F6 3B 66 E9 88 3B 68 DE AD ,,,,,,,,,,,,,
06 45 7C 38 CC FF 74 45 00 6E CC FF 65 ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
