Name:,Memorex MVT2135B TV/VCR Combo,,,,v8.32,,,,,,,CURRENT DATA
program guide,228,,guide,19 - program guide,,,,,,,,
TV Monitor,042,,up arrow,,,,,,,,,
Eject,105,,down arrow,,,,,,,,,
Call,167,,left arrow,,,,,,,,,
Quick View,248,,right arrow,,,,,,,,,
,,,select,39 - Counter Reset,,,,,,,,
sleep,169,,angle/sleep,24 - sleep,,,,,,,,
Record/OTR,054,,pip,,,,,,,,,
Pause/Still,123,,info,23 - Quick View,,,,,,,,
Play,058,,swap,31 - Speed,,,,,,,,
Rewind,119,,move,,,,,,,,,
Fast Fwd,121,,play,27 - Play,,,,,,,,
Stop,117,,pause,26 - Pause/Still,,,,,,,,
Speed,245,,rewind,28 - Rewind,,,,,,,,
Tracking+,104,,fast fwd,29 - Fast Fwd,,,,,,,,
Tracking-,102,,stop,30 - Stop,,,,,,,,
Cancel,118,,record,25 - Record/OTR,,,,,,,,
Auto Tracking,037,,exit,34 - Cancel,,,,,,,,
TV/Cap/Text,036,,surround,,,,,,,,,
Timer Record,122,,audio/CC,36 - TV/Cap/Text,,,,,,,,
Skip Search,100,,+100,,,,,,,,,
Counter Reset,244,,fav/scan,,,,,,,,,
Zero Return,251,,device button,,,,,,,,,
,,,advance,38 - Skip Search,,,,,,,,
,,,replay,22 - Call,,,,,,,,
,,,next track,32 - Tracking+,,,,,,,,
,,,prev track,33 - Tracking-,,,,,,,,
,,,PVR menu,37 - Timer Record,,,,,,,,
,,,subtitle,20 - TV Monitor,,,,,,,,
,,,slow,21 - Eject,,,,,,,,
,,,thumbs up,35 - Auto Tracking,,,,,,,,
,,,thumbs down,40 - Zero Return,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
