Name:,Apex DRX-9000 (15-1994),,,,v7.39,,,,,,,CURRENT DATA
num 8,118,,8,08 - num 8,,,,,,,,
num 9,122,,9,09 - num 9,,,,,,,,
vol up,053,,vol up,,,,,,,,,
vol down,036,,vol down,,,,,,,,,
mute,169,,mute,,,,,,,,,
Channel Up,244,,channel up,13 - Channel Up,,,,,,,,
Channel Down,245,,channel down,14 - Channel Down,,,,,,,,
Next Track,186,,power,17 - power,,,,,,,,
Previous Track,037,,enter,27 - Select,,,,,,,,
power,052,,tv/vcr,46 - Slow,,,,,,,,
Edit,250,,last,44 - Add/Clear,,,,,,,,
Disc Operations,117,,menu,21 - Menu,,,,,,,,
Timer,116,,program / guide,30 - Navigation,,,,,,,,
Menu,055,,up arrow,23 - up arrow,,,,,,,,
setup,231,,down arrow,24 - down arrow,,,,,,,,
up arrow,100,,left arrow,25 - left arrow,,,,,,,,
down arrow,232,,right arrow,26 - right arrow,,,,,,,,
left arrow,233,,select,27 - Select,,,,,,,,
right arrow,228,,sleep,20 - Timer,,,,,,,,
Select,248,,pip,32 - angle,,,,,,,,
Play,182,,display,31 - display,,,,,,,,
Pause/Step,040,,swap,45 - Input,,,,,,,,38 - open/close
Navigation,039,,move,48 - Go To,,,,,,,,
display,102,,play,28 - Play,,,,,,,,
angle,041,,pause,29 - Pause/Step,,,,,,,,
title,187,,rewind,34 - rewind,,,,,,,,16 - Previous Track
rewind,057,,fast fwd,35 - fast fwd,,,,,,,,15 - Next Track
fast fwd,184,,stop,36 - stop,,,,,,,,
stop,185,,record,41 - Record,,,,,,,,
Return,059,,exit,37 - Return,,,,,,,,
open/close,056,,surround,39 - audio,,,,,,,,40 - Sub-Title
audio,183,,input,,,,,,,,,
Sub-Title,229,,+100,,,,,,,,,
Record,180,,fav/scan,,,,,,,,,
Random,181,,device button,,,,,,,,,
Interlaced/Prog,105,,next track,,,,,,,,,
Add/Clear,251,,prev track,,,,,,,,,
Input,038,,shift-left,,,,,,,,,
Slow,229,,shift-right,,,,,,,,,
Repeat,103,,pip freeze,,,,,,,,,
Go To,104,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,1s,33 - title,,,,,,,,
,,,2s,19 - Disc Operations,,,,,,,,
,,,3s,18 - Edit,,,,,,,,
,,,4s,22 - setup,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
*** bottom ***,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
