Name:,Panasonic Proj. PT-M1083UN,,,,v8.31,,,,,,,CURRENT DATA
on screen,098,,swap,28 - clamp position,on screen,,,,,,,
WB low,049,,move,07 - rgb position,WB low,,,,,,,
WB high,050,,play,13 - G,WB high,,,,,,,
color temp,104,,pause,09 - raster lin,color temp,,,,,,,
sharp,055,,rewind,12 - R,sharp,,,,,,,
tint,052,,fwd,14 - B,tint,,,,,,,
color,051,,stop,11 - blk,color,,,,,,,
vol +,032,,record,08 - raster size,vol +,,,,,,,
vol -,033,,exit,02 - ESC,vol -,,,,,,,
vol mute,119,,surround,,vol mute,,,,,,,
1,016,,input,,1,,,,,,,
2,017,,+100,,2,,,,,,,
3,018,,fav,,3,,,,,,,
4,019,,device button,,4,,,,,,,
5,020,,f fwd,31 - WB high,5,,,,,,,
6,021,,f rew,30 - WB low,6,,,,,,,
7,022,,shift-left,,7,,,,,,,
8,023,,shift-right,,8,,,,,,,
9,024,,pip freeze,,9,,,,,,,
0,025,,slow,,0,,,,,,,
pic mute,145,,eject,,pic mute,,,,,,,
id select,108,,slow+,,id select,,,,,,,
id all,107,,slow-,,id all,,,,,,,
PNR,113,,x2,,PNR,,,,,,,
function menu,120,,center,,function menu,,,,,,,
system select,112,,rear,,system select,,,,,,,
+,088,,phantom1,,+,,,,,,,
-,089,,phantom2,,-,,,,,,,
Contrast,054,,phantom3,,Contrast,,,,,,,
Bright,053,,phantom4,,Bright,,,,,,,
Down Arrow,091,,phantom5,,`Down_Arrow,,,,,,,
Right Arrow,093,,phantom6,,`Right_Arrow,,,,,,,
Left Arrow,092,,phantom7,,`Left_Arrow,,,,,,,
Up Arrow,090,,phantom8,,`Up_Arrow,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,35 - color,,,,,,,,
,,,M2,34 - tint,,,,,,,,
,,,M3,33 - sharp,,,,,,,,
,,,M4,32 - color temp,,,,,,,,
,,,L1,52 - PNR,,,,,,,,
,,,L2,05 - S-Video,,,,,,,,
,,,L3,04 - LINE,,,,,,,,
,,,L4,06 - RGB,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
