Name:,Sim2 HT300+,,,,v7.05,,,,,,,CURRENT DATA
Line Notes:,,,,,,,,,,,,,
Upgrade protocol 0 = 01 30 (S3C8),,,,,,,,,,,,,
42 89 11 8B 12 C5 45 08 08 02 5F 05 58 02 5F 02,,,,,,,,,,,,,
3A E0 20 04 B2 05 5C 08 00 27 03 04 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
