Name:,Electrohome Marquee 8500 CRT projector,,,,v9.07,,,,,,,CURRENT DATA
Upgrade Protocol 0 = 00 84 (S3C8+) ,,,,,,,,,,,,,
3B 7B 21 8B 14 84 85 90 18 00 07 00 BA 00 AB 00 ,,,,,,,,,,,,,
BA 00 AB 4B 33 00 BA 03 96 76 03 01 6B 09 E6 0E ,,,,,,,,,,,,,
09 E6 0F 09 F6 01 55 E4 03 08 8D 01 46 ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
