Name:,NEC DP5200 Projector,,,,v8.23,,,,,,,CURRENT DATA
POINT CALL,140,,last,,,,,POINT CALL,,,,
POINT COARSE/FINE,143,,menu,,,,,POINT COARSE/FINE,,,,
POINT COLOR DOWN,201,,program / guide,,,,,POINT COLOR DOWN,,,,
POINT COLOR UP,200,,up arrow,62 - UP,,,,POINT COLOR UP,,,,
POINT DOWN,221,,down arrow,08 - DOWN,,,,POINT DOWN,,,,
POINT END,137,,left arrow,10 - LEFT,,,,POINT END,,,,
POINT LEFT,223,,right arrow,53 - RIGHT,,,,POINT LEFT,,,,
POINT MUTE,155,,select,54 - SEL,,,,POINT MUTE,,,,
POINT PICTURE DOWN,199,,sleep,,,,,POINT PICTURE DOWN,,,,
POINT PICTURE UP,198,,pip,,,,,POINT PICTURE UP,,,,
POINT POWER,136,,display,,,,,POINT POWER,,,,
POINT PRESET,141,,swap,,,,,POINT PRESET,,,,
POINT R,128,,move,,,,,POINT R,,,,
POINT RGB1,156,,play,,,,,POINT RGB1,,,,
POINT RGB2,157,,pause,,,,,POINT RGB2,,,,
POINT RGB3,158,,rewind,,,,,POINT RGB3,,,,
POINT RIGHT,222,,fast fwd,,,,,POINT RIGHT,,,,
POINT SEL,192,,stop,,,,,POINT SEL,,,,
POINT SHARPNESS DOWN,207,,record,,,,,POINT SHARPNESS DOWN,,,,
POINT SHARPNESS UP,206,,exit,09 - END,,,,POINT SHARPNESS UP,,,,
POINT STATIC,149,,surround,,,,,POINT STATIC,,,,
POINT STORE,146,,input,,,,,POINT STORE,,,,
POINT TINT DOWN,205,,+100,,,,,POINT TINT DOWN,,,,
POINT TINT UP,204,,fav/scan,,,,,POINT TINT UP,,,,
POINT UP,220,,device button,,,,,POINT UP,,,,
POINT VIDEO1,152,,next track,,,,,POINT VIDEO1,,,,
POINT VIDEO2,153,,prev track,,,,,POINT VIDEO2,,,,
POINT VOLUME DOWN,195,,shift-left,,,,,POINT VOLUME DOWN,,,,
POINT VOLUME UP,194,,shift-right,,,,,POINT VOLUME UP,,,,
POWER,008,,pip freeze,,,,,POWER,,,,
PRESET,013,,slow,,,,,PRESET,,,,
R,000,,eject,,,,,R,,,,
RGB1,028,,slow+,,,,,RGB1,,,,
RGB2,029,,slow-,,,,,RGB2,,,,
RGB3,030,,x2,,,,,RGB3,,,,
RIGHT,094,,center,,,,,RIGHT,,,,
SEL,064,,rear,,,,,SEL,,,,
SHARPNESS+,078,,phantom1,,,,,SHARPNESS+,,,,
SHARPNESS-,079,,phantom2,,,,,SHARPNESS-,,,,
STATIC,021,,phantom3,,,,,STATIC,,,,
STORE,018,,phantom4,,,,,STORE,,,,
TEST,011,,discreteON,,,,,TEST,,,,
TINT+,076,,discreteOFF,,,,,TINT+,,,,
TINT-,077,,phantom7,,,,,TINT-,,,,
UP,092,,phantom8,,,,,UP,,,,
VIDEO1,024,,phantom9,,,,,VIDEO1,,,,
VIDEO2,025,,phantom10,,,,,VIDEO2,,,,
VOLUME DOWN,067,,setup,,,,,VOLUME DOWN,,,,
VOLUME UP,066,,light,,,,,VOLUME UP,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,1s,,,,,,,,,
,,,2s,,,,,,,,,
,,,3s,,,,,,,,,
,,,4s,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
