Name:,Sharp Aquos LC-45GD4U,,,,v8.33,,,,,,,CURRENT DATA
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Created and tested using LC-45GD4U (ie builtin AVC) and,,,,,,,,,,,,,
"LC-45GX6U (external AVC, IR sensor on panel, not on AVC)",,,,,,,,,,,,,
,,,,,,,,,,,,,
"discrete on/off, input 1-5 have all been tested and are functional",,,,,,,,,,,,,
ie discrete off functions as true discrete off vs power toggle,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Sharp uses multiple device #s to control this unit, so this",,,,,,,,,,,,,
device upgrade is built using Sharp Combo (Official) protocol.,,,,,,,,,,,,,
"The device #s are listed in ""byte2""",,,,,,,,,,,,,
,,,,,,,,,,,,,
Discrete Inputs 1-5 are mapped onto shifted Num 1-5.  For a,,,,,,,,,,,,,
"non-extended 15-2117 you need to press ""P"" twice or the",,,,,,,,,,,,,
remote will assume you want to send an EFC.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Added Service Mode - use at your own risk (Shift-Rec),,,,,,,,,,,,,
,,,,,,,,,,,,,
questions - PM sfhub at http://www.avsforum.com/,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
