Name:,Toshiba-LCD-TV-26C100U1(8910),,,,v9.21,,,,,,,,CURRENT DATA
Stop,049,,exit,28 - Exit menu,for HDMI-CEC  DVD/DVR/CD,,,,,,,,37
Skip back |<<,055,,,,for HDMI-CEC  DVD/DVR/CD,,,,,,,,
Rew/slow <<,052,,,,for HDMI-CEC  DVD/DVR/CD,,,,,,,,
FF/slow >>,051,,,,for HDMI-CEC  DVD/DVR/CD,,,,,,,,
Skip Fwd >>|,054,,,,for HDMI-CEC  DVD/DVR/CD,,,,,,,,
,,,,,,,,,,,,,
-----discretes,,,f fwd,,,,,,,,,,2A
DiscreteON,126,,f rew,,Only TV no related gear,,,,,,,,29
DiscreteOFF,127,,,,also turns off HDMI gear,,,,,,,,
input0-antena/cable,061,,,,input menu 0,,,,,,,,
input1-video,032,,,,input menu 1,,,,,,,,
input2-colorStreamHD,033,,,,input menu 2 (dvd),,,,,,,,
input3-hdmi1,034,,,,input menu 3,,,,,,,,
input4-hdmi2,035,,,,input menu 4,,,,,,,,
input5-pc,036,,,,input menu 5,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,42 - DiscreteON,,,,,,,,43 - DiscreteOFF,3D
,,,phantom2,,,,,,,,,,3E
,,,phantom3,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,light,,,,,,,,,,39
,,,home theater,,,,,,,,,,24
,,,M1,,,,,,,,,,2D
,,,M2,,,,,,,,,,2E
,,,M3,,,,,,,,,,2F
,,,,,,,,,,,,,
,,,L1,,,,,,,,,,25
,,,L2,,,,,,,,,,26
,,,L3,,,,,,,,,,27
,,,L4,,,,,,,,,,28
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,com/skip,,,,,,,,,,2B
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Toshiba LCD TV 19C100U,,,,,,,,,,,,,
from Widget/IRscope captures,,,,,,,,,,,,,
"Remote is 90325 also used on 26C100U1, 32C100U1",,,,,,,,,,,,,
,,,,,,,,,,,,,
"These discretes work: discrete on/off and inputs, hurray",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
