Name:,Akai TV,,,,v8.36,,,,,,,CURRENT DATA
vol down,014,,setup,,,,,,,,,
vol up,013,,light,,,,,,,,,
wide,,,theater,,,,,,,,,
wow,,,macro a,,,,,,,,,
zoom-,,,macro b,,,,,,,,,
zoom+,022,,macro c,,,,,,,,,
,,,macro4,,,,,,,,,
Pause,065,,learn1,,,,,,,,,
Play,065,,learn2,,,,,,,,,
REC,,,learn3,,,,,,,,,
REW,078,,learn4,,,,,,,,,
FWD,091,,,,,,,,,,,
Stop,066,,,,,,,,,,,
Skip+,077,,,,,,,,,,,
Skip-,076,,,,,,,,,,,
angle,092,,,,,,,,,,,
open/close,067,,,,,,,,,,,
DVD menu,080,,,,,,,,,,,
DVD info,088,,,,,,,,,,,
repeat,089,,,,,,,,,,,
setup,090,,,,,,,,,,,
audio,084,,,,,,,,,,,
prog,085,,,,,,,,,,,
title,086,,,,,,,,,,,
subtitle,087,,,,,,,,,,,
slow forward,,,,,,,,,,,,
slow reverse,,,,,,,,,,,,
jump,,,,,,,,,,,,
marker,,,,,,,,,,,,
,,,,,,,,,,,,
blue,,,,,,,,,,,,
green,,,,,,,,,,,,
red,,,,,,,,,,,,
yellow,,,,,,,,,,,,
dpf,,,,,,,,,,,,
mp3/dvd,,,,,,,,,,,,
vc/ind,,,,,,,,,,,,
,,,,,,,,,,,,
com-1,,,,,,,,,,,,
com-2,,,,,,,,,,,,
dvi,,,,,,,,,,,,
rgb,,,,,,,,,,,,
scal,,,,,,,,,,,,
s-video,,,,,,,,,,,,
tv,,,,,,,,,,,,
Y Pb Pr,,,,,,,,,,,,
video,,,,,,,,,,,,
PC,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
