Name:,TV-0567 - Samsung HD DLP,,,,v9.05,,,,,,,CURRENT DATA
PIP - Scan,153,,exit,23 - Sleep,PIP - Auto channel surfing,,,,,,,
PIP - Size,090,,surround,,,,,,,,,
PIP - CH+,151,,input.,,,,,,,,,
PIP - CH-,155,,+100,,,,,,,,,
DVD - remote feedback,006,,fav/scan,,feedback on TV screen,,,,,,,
VCR - remote feedback,007,,device button,,feedback on TV screen,,,,,,,
TV - remote feedback,008,,next track,,feedback on TV screen,,,,,,,
Cable - remote feedback,011,,prev track,,feedback on TV screen,,,,,,,
Joystick - up,197,,pip (main),33 - PIP,,,,,,,,
Joystick - down,201,,format,25 - Aspect,,,,,,,,
Joystick - left,200,,pip freeze,26 - Still,,,,,,,,
Joystick - right,199,,slow,,,,,,,,,
Joystick - enter,069,,eject,,Select/Enter,,,,,,,
Discrete ON,001,,slow+,,<not on the original OEM remote>,,,,,,,
Discrete OFF,253,,slow-,,<not on the original OEM remote>,,,,,,,
Antenna,251,,pip size,38 - PIP - Size,<not on the original OEM remote>,,,,,,,35 - PIP - Locate
Video 1,177,,center,,<not on the original OEM remote>,,,,,,,
Video 2,013,,rear,,<not on the original OEM remote>,,,,,,,
Video 3,017,,phantom1,,<not on the original OEM remote>,,,,,,,
S-Video 1,192,,phantom2,,<not on the original OEM remote>,,,,,,,
S-Video 2,019,,phantom3,,<not on the original OEM remote>,,,,,,,
S-Video 3,175,,phantom4,,<not on the original OEM remote>,,,,,,,
Component 1,171,,phantom5,,<not on the original OEM remote>,,,,,,,
Component 2,016,,phantom6,,<not on the original OEM remote>,,,,,,,
Component 3,179,,phantom7,,<not on the original OEM remote>,,,,,,,
DVI,018,,phantom8,,<not on the original OEM remote>,,,,,,,
PC,073,,phantom9,,<not on the original OEM remote>,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,Home Theater,,,,,,,,,
,,,Macro 1,,,,,,,,,
,,,Macro 2,,,,,,,,,
,,,Macro 3,,,,,,,,,
,,,Macro 4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Full mapping for the SAMSUNG DLP TV models: HLNnnnnW,,,,,,,,,,,,,
"eg: Samsung model: HLN567W - Samsung 56"" DLP - circa 2003",,,,,,,,,,,,,
based on Samsung OEM Remote: BP59-00016,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Interesting ""Service Menu"" macro:  Mute-1-8-2-Power",,,,,,,,,,,,,
"- when used to power-up TV, the service menu is displayed...",,,,,,,,,,,,,
,,,,,,,,,,,,,
Discrete Power ON/OFF and direct source selection codes are,,,,,,,,,,,,,
available with Samsung HLN-TV firmware version 2.14 or later.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
*** Keymap Master (v9.05) flaws URC-9960 setup as follows:,,,,,,,,,,,,,
Keymove:  B1 F3 13 2C 25«V.Chip»  - is incorrect…,,,,,,,,,,,,,
should be: 94 F3 13 2C 25«V.Chip»    (Shift-menu),,,,,,,,,,,,,
Keymove:  BA F3 12 37 95«Fav.CH»  - is incorrect…,,,,,,,,,,,,,
should be: A5 F3 12 37 95«Fav.CH»     (Shift-guide),,,,,,,,,,,,,
"workaround is to ""paste"" the upgrade into Notepad, edit it, and",,,,,,,,,,,,,
then cut and paste the corrected upgrade from Notepad into IR…,,,,,,,,,,,,,
*** Version 1.1,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
