Name:,Sony KV-34XBR800,,,,v8.23,,,,,,,CURRENT DATA
TV Tuner discrete,036,1,fav/scan,,,,,Internal VHS TUNER,,,,
Video #1 (PS2) discrete,064,1,device button,,,,,Input #1 - Cable,,,,
Video #2 discrete,065,1,next track,,,,,Input #2,,,,
Video #3 discrete,066,1,prev track,,,,,Input #3,,,,
Video #4 discrete,071,1,shift-left,,,,,Input #4 - VHS,,,,
Video #5 (Cable) discrete,072,1,shift-right,,,,,Input #5 - DVD-R,,,,
Video #6 (DVD) discrete,073,1,freeze,36 - [FREEZE],,,,Input #6 - Y_Pb_Pr,,,,
Video #7 (DVI) discrete,066,151,slow,,,,,zoom_ wide zoom tog,,,,
Picture Contrast +,024,1,eject,,,,,wide mode_ format 2,,,,
Picture Contrast -,025,1,slow+,,,,,wide,,,,
Color +,026,1,slow-,,,,,Picture Contrast +,,,,
Color -,027,1,x2,,,,,Picture Contrast -,,,,
Brightness +,030,1,center,,,,,Color +,,,,
Brightness -,031,1,rear,,,,,Color -,,,,
Hue +,032,1,phantom1,41 - TV Tuner discrete,,,,Brightness +,,,,
Hue -,033,1,phantom2,42 - Video #1 (PS2) discrete,,,,Brightness -,,,,
Sharpness +,034,1,phantom3,46 - Video #5 (Cable) discrete,,,,Hue < Red,,,,
Sharpness -,035,1,phantom4,47 - Video #6 (DVD) discrete,,,,Hue > Green,,,,
Clear Edge Video Toggle,077,164,phantom5,,,,,Sharpness +,,,,
Balance L,038,1,DiscreteON,37 - Discrete ON,,,,Sharpness -,,,,
Balance R,039,1,DiscreteOFF,38 - Discrete OFF,,,,Clear Edge Video Toggle,,,,
Audio Effect Toggle,041,1,phantom8,,,,,Balance <,,,,
Speaker ON/OFF Toggle,080,1,phantom9,,,,,Balance >,,,,
"Sleep, Off Timer",054,1,phantom10,,,,,Audio Effect Toggle,,,,
"PIP Off, A/V Off",110,164,setup,,,,,Speaker ON/OFF Toggle,,,,
Treble +,112,1,light,,,,,Sleep Timer OFF,,,,
Treble -,113,1,my system,,,,,PIP off,,,,
Bass +,114,1,macro1,,,,,Treble +,,,,
Bass -,115,1,macro2,,,,,Treble -,,,,
SONY TEST (Be very careful here),127,1,macro3,,,,,Bass +,,,,
,,,macro4,,,,,Bass -,,,,
,,,learn1,,,,,Color Temperature,,,,
,,,learn2,,,,,Caption Vision,,,,
,,,learn3,,,,,SONY TEST (Be very careful here),,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Device upgrade that incorporates a lot of the original remote's,,,,,,,,,,,,,
functionality for my Sony KV-34XBR800 into my 15-2117.,,,,,,,,,,,,,
"Since my original remote was turned into a chew toy by my Husky,",,,,,,,,,,,,,
I included more functions than I needed on the off chance I may,,,,,,,,,,,,,
need some of them some day.,,,,,,,,,,,,,
,,,,,,,,,,,,,
I also assigned some discrete functions to some of the phantom,,,,,,,,,,,,,
buttons for use with some user-friendly macros.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thank you to Rob and all of those who have made this love-hate,,,,,,,,,,,,,
relationship possible.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
