Name:,AOC A17UX231 TV,,,,v8.43,,,,,,,CURRENT DATA
num 5,247,,5,05 - num 5,,,,,,,,
num 6,251,,6,06 - num 6,,,,,,,,
num 7,248,,7,07 - num 7,,,,,,,,
num 8,246,,8,08 - num 8,,,,,,,,
num 9,250,,9,09 - num 9,,,,,,,,
100,043,,vol up,41 - Volume Up,,,,,,,,
Caption,036,,vol down,40 - Volume Down,,,,,,,,
Channel Down,244,,mute,22 - mute,,,,,,,,
Channel Up,245,,channel up,13 - channel up,,,,,,,,
Display,183,,channel down,12 - channel down,,,,,,,,
Enter,053,,power,29 - power,,,,,,,,
Menu,055,,enter,15 - enter,,,,,,,,
Menu Down,058,,tv/vid,37 - TV/Video,,,,,,,,
Menu Left,041,,prev,30 - Previous Channel,,,,,,,,
Menu Right,039,,menu,16 - menu,,,,,,,,
Menu Up,059,,guide,,,,,,,,,
MTS/SAP,165,,up arrow,20 - Menu Up,,,,,,,,
Mute,180,,down arrow,17 - Menu Down,,,,,,,,
PC,168,,left arrow,18 - Menu Left,,,,,,,,
PIP,119,,right arrow,19 - Menu Right,,,,,,,,
PIP Size,116,,select,16 - Menu,,,,,,,,
PIP Swap,187,,sleep,33 - sleep,,,,,,,,
Play/Pause,121,,pip,24 - PIP,,,,,,,,
POP,054,,info,14 - Display,,,,,,,,
Power,185,,swap,26 - pip swap,,,,,,,,
Previous Channel,164,,move,25 - PIP Size,,,,,,,,
Search Forward,181,,play,,,,,,,,,
Search Reverse,057,,pause,,,,,,,,,
Sleep,123,,rewind,,,,,,,,,
Sound,184,,fwd,,,,,,,,,
Stereo,116,,stop,,,,,,,,,
Subtitle,182,,record,,,,,,,,,
TV/Video,166,,exit,,,,,,,,,
V-Chip,040,,surround,,,,,,,,,
VOD,186,,input,,,,,,,,,
Volume Down,117,,+100,,,,,,,,,
Volume Up,052,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,,,,,,,,,
,,,f rew,,,,,,,,,
,,,com/skip,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
