Name:,RCA TV with slower Protocol,,,,v9.17,,,,,,,,CURRENT DATA
 E0 0F 8C 07 D0 07 BC 8D 01 46 ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Upgrade protocol 0 = 01 FF (HCS08) Slow RCA (PB v4.01),,,,,,,,,,,,,
 20 15 20 49 11 95 45 04 08 00 FA 03 E8 00 FA 01 ,,,,,,,,,,,,,
 F4 0F 8C 07 D0 07 D0 CC FF 5F ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
