Name:,Toshiba TW56D90,,,,v9.19,,,,,,,,CURRENT DATA
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
CAUTION!,,,,,,,,,,,,,
========,,,,,,,,,,,,,
,,,,,,,,,,,,,
Remote functions in this setup that are surrounded,,,,,,,,,,,,,
"by square brackets are ""Service-Mode"" commands,",,,,,,,,,,,,,
and should not be used.  Use of these commands may,,,,,,,,,,,,,
cause severe misalignment of the TV.  They are listed,,,,,,,,,,,,,
in the spreadsheet in order to document the EFC codes,,,,,,,,,,,,,
that should never be used.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Example:  [""M"" Mode]   EFC = 288",,,,,,,,,,,,,
,,,,,,,,,,,,,
If you should accidentally use one of these codes,,,,,,,,,,,,,
"and set the TV in service mode, the best method",,,,,,,,,,,,,
of recovery is to unplug the TV.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mike England (mr_d_p_gumby),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
