Name:,Samsung HL61A750,,,,v9.12,,,,,,,CURRENT DATA
AV1,132,,phantom4,,input select discrete,,,,,,,
AV2,235,,phantom5,,input select discrete,,,,,,,
Component1,134,,phantom6,,input select discrete,,,,,,,
Component2,136,,phantom7,,input select discrete,,,,,,,
Svideo,133,,phantom8,,input select discrete,,,,,,,
HDMI1,233,,phantom9,,input select discrete,,,,,,,
HDMI2,190,,phantom10,,input select discrete,,,,,,,
HDMI3/DVI,194,,setup,,input select discrete,,,,,,,
PC,105,,light,,input select discrete,,,,,,,
External Storage,140,,home theater,,,,,,,,,
4:3,227,,M1,61 - HDMI1,picture size discrete,,,,,,,54 - Power On
16:9,228,,M2,62 - HDMI2,picture size discrete,,,,,,,55 - Power Off
Zoom1,083,,M3,63 - HDMI3/DVI,picture size discrete,,,,,,,
Zoom2,225,,macro4,,picture size discrete,,,,,,,
Standard,223,,L1,56 - AV1,picture size discrete,,,,,,,
Movie,222,,L2,57 - AV2,picture mode discrete,,,,,,,
Dynamic,189,,L3,58 - Component1,picture mode discrete,,,,,,,
DNIE,109,,L4,59 - Component2,picture mode discrete,,,,,,,
AV Settings,075,,,,AV setting popup,,,,,,,
E.Mode,148,,,,Entertainment mode cycle,,,,,,,
SRS TS TX,110,,,,Sim. surround sound toggle,,,,,,,
SAP,000,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Samsung remote BP59-00115A,,,,,,,,,,,,,
"61"" LED DLP HDTV",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
