Name:,XMAS keymap-master Device Upgrade,,,,v9.10,,,,,,,CURRENT DATA
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,shift-0,,,,,,,,,
,,,shift-1,,,,,,,,,
,,,shift-2,,,,,,,,,
,,,shift-3,,,,,,,,,
,,,shift-4,,,,,,,,,
,,,shift-5,,,,,,,,,
,,,shift-6,,,,,,,,,
,,,shift-7,,,,,,,,,
,,,shift-8,,,,,,,,,
,,,shift-9,,,,,,,,,
,,,shift-info,,,,,,,,,
,,,shift-dream (menu),,,,,,,,,
,,,shift-audio,,,,,,,,,
,,,shift-video,,,,,,,,,
,,,shift-up arrow,,,,,,,,,
,,,shift-down arrow,,,,,,,,,
,,,shift-left arrow,,,,,,,,,
,,,shift-right arrow,,,,,,,,,
,,,shift-ok,,,,,,,,,
,,,shift-red (rewind),,,,,,,,,
,,,shift-green (play),,,,,,,,,
,,,shift-yellow (pause),,,,,,,,,
,,,shift-blue (fast fwd),,,,,,,,,
,,,shift-radio (record),,,,,,,,,
,,,shift-video,,,,,,,,,
,,,shift-text,,,,,,,,,
,,,shift-help,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
