Name:,Toshiba-LCD-TV-26C100U1(6131ext),,,,v9.21 beta,,,,,,,,CURRENT DATA
Pause/Step,053,,stop,37 - stop,for HDMI-CEC  DVD/DVR/CD,,,,,,,,0E
Play,048,,record,,for HDMI-CEC  DVD/DVR/CD,,,,,,,,10
Stop,049,,exit,28 - Exit menu,for HDMI-CEC  DVD/DVR/CD,,,,,,,34 - Eject(open/close dvd tray),24
Skip back |<<,055,,,,for HDMI-CEC  DVD/DVR/CD,,,,,,,,
Rew/slow <<,052,,,,for HDMI-CEC  DVD/DVR/CD,,,,,,,,
FF/slow >>,051,,,,for HDMI-CEC  DVD/DVR/CD,,,,,,,,
Skip Fwd >>|,054,,,,for HDMI-CEC  DVD/DVR/CD,,,,,,,,
,,,,,,,,,,,,,
-----discretes,,,next track,41 - Skip Fwd >>|,,,,,,,,,2B
DiscreteON,126,,prev track,38 - Skip back |<<,Only TV no related gear,,,,,,,,2A
DiscreteOFF,127,,,,also turns off HDMI gear,,,,,,,,
input0-antena/cable,061,,,,input menu 0,,,,,,,,
input1-video,032,,,,input menu 1,,,,,,,,
input2-colorStreamHD,033,,slow,,input menu 2 (dvd),,,,,,,,2E
input3-hdmi1,034,,,,input menu 3,,,,,,,,
input4-hdmi2,035,,,,input menu 4,,,,,,,,
input5-pc,036,,,,input menu 5,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,42 - DiscreteON,,,,,,,,43 - DiscreteOFF,3D
,,,phantom2,,,,,,,,,,3E
,,,phantom3,,,,,,,,,,3F
,,,phantom4,,,,,,,,,,40
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,subtitle,,,,,,,,,,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,PVR menu (blue),,,,,,,,,,36
,,,replay,,,,,,,,,,27
,,,advance,,,,,,,,,,29
,,,,,,,,,,,,,
,,,thumbs up (green),,,,,,,,,,2C
,,,thumbs down (red),,,,,,,,,,2D
,,,audio/CC,24 - CCaption,,,,,,,,,37
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Toshiba LCD TV 19C100U,,,,,,,,,,,,,
from Widget/IRscope captures,,,,,,,,,,,,,
"Remote is 90325 also used on 26C100U1, 32C100U1",,,,,,,,,,,,,
,,,,,,,,,,,,,
Few discretes work also: discrete on/off and inputs,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
