Name:,Philips TV,,,,v8.31,,,,,,,CURRENT DATA
to TV from ext,063,,enter,32 - green user pref PP,form IR,,,,,,,
TV-> ext <-> 2 3,056,,tv/vcr,,ok,,,,,,,
ext 2,057,,go back,26 - prev <->last channel & 2 dig,"from linux, NO",,,,,,,26 - prev <->last channel & 2 dig
ext front,058,,menu,36 - color -,NO,,,,,,,43 - tint-
power off_ stand by,012,,guide,37 - color +,ok,,,,,,,42 - tint+
lefft -,085,1,up arrow,35 - bright +,ofc 85_ from IR,,,,,,,22 - right +
right +,086,1,down arrow,34 - bright -,ofc 86_ from IR,,,,,,,21 - lefft -
up,080,1,left arrow,24 - down,ofc 80_ hex ok,,,,,,,
down,081,1,right arrow,23 - up,ofc 81_ hex ok,,,,,,,
search,030,,select,50 - spatial on/off,ok,,,,,,,
VCR,,,sleep,,,,,,,,,
prev <->last channel & 2 dig,034,,pip on/off,,from linux,,,,,,,
red a,107,1,info,40 - contast +,from linux,,,,,,,
green b,108,1,pip swap,26 - prev <->last channel & 2 dig,from linux,,,,,,,
yellow c,109,1,pip move,,try,,,,,,,
blue d,110,1,play,27 - red a,linux index off,,,,,,,
white e,111,1,pause,29 - yellow c,,,,,,,,
x1,,,rewind,31 - white e,,,,,,,,
pip move,,,fast fwd,28 - green b,,,,,,,,
green user pref PP,014,,stop,30 - blue d,from linux,,,,,,,
plus,,,record,64 - menu on/off,ok,,,,,,,65 - menu off
I-II language,035,,clear,39 - contrast -,from linux,,,,,,,
bright -,019,,surround,,ok,,,,,,,
bright +,018,,input,17 - TV-> ext <-> 2 3,from linux,,,,,,,
color -,021,,+100,,from linux,,,,,,,
color +,020,,fav/scan,,from linux,,,,,,,
color reset,030,,device button,,from linux,,,,,,,
contrast -,029,,next track,,from linux,,,,,,,
contast +,028,,prev track,,from linux,,,,,,,
bass -,023,,shift-left,,from linux,,,,,,,
tint+,031,,shift-right,,from linux,,,,,,,
tint-,039,,pip freeze,,from linux,,,,,,,
bass +,022,,slow,,from linux,,,,,,,
tremble -,025,,eject,,,,,,,,,
tremble +,024,,slow+,,,,,,,,,
balance L,027,,slow-,,,,,,,,,
balance R,026,,x2,,,,,,,,,
mono<-> stereo,037,,center,,,,,,,,,
spatial on/off,036,,rear,,,,,,,,,
width,,,phantom1,,,,,,,,,
txt stop,041,,phantom2,,,,,,,,,
txt question,044,,phantom3,,,,,,,,,
txt save txt<->TV,,,phantom4,,,,,,,,,
txt -> tv_ txt overlay,046,,phantom5,,,,,,,,,
rec stop,054,,phantom6,,,,,,,,,
rec play,053,,phantom7,,,,,,,,,
rec record,055,,phantom8,,,,,,,,,
txt full half hight,,,phantom9,,,,,,,,,
txt q,,,phantom10,,,,,,,,,
rec rewind,050,,code search,,,,,,,,,
rec forw,052,,light,,,,,,,,,
clock,,,theater,,,,,,,,,
sat -,,,M1,,,,,,,,,
sat +,,,M2,,,,,,,,,
stop,,,M3,,,,,,,,,
xx,,,macro4,,,,,,,,,
xxx,,,L1,,,,,,,,,
pip,058,,L2,,,,,,,,,
pip ch-,039,,L3,,,,,,,,,
pip ch+,038,,learn4,,,,,,,,,
pip input,031,,,,,,,,,,,
pip freeze,037,,,,,,,,,,,
menu on/off,082,1,,,,,,,,,,
menu off,083,1,,,,,,,,,,
x2,,,,,,,,,,,,
search,030,,,,,,,,,,,
voice/music,,,,,,,,,,,,
display OSD,015,,,,,,,,,,,
mosaic,096,1,,,,,,,,,,
timer / voice?,038,,,,,,,,,,,
ten 2 digits,010,,,,,,,,,,,
chan/prog,011,,,,,,,,,,,
none,034,,,,,,,,,,,
none 2,048,,,,,,,,,,,
erase,049,,,,,,,,,,,
ext3?,058,,,,,,,,,,,
none 3,059,,,,,,,,,,,
Display A/V status,084,1,,,,,,,,,,
c60,060,,,,,,,,,,,
c61,061,,,,,,,,,,,
c62,062,,,,,,,,,,,
c63,063,,,,,,,,,,,
c64,064,,,,,,,,,,,
c65,065,,,,,,,,,,,
c66,066,,,,,,,,,,,
c67,067,,,,,,,,,,,
c68,068,,,,,,,,,,,
c69,069,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
