Name:,RCA-TV's All commands,,,,v8.24,,,,,,,CURRENT DATA
Menu Up,089,15,phantom3,,,,,Menu Up,,,,
Surr On/Off,090,15,phantom4,,,,,Surr On/Off,,,,
Surr Frz,091,15,discreteON,,,,,Surr Frz,,,,
Sur Zoom Out,092,15,discreteOFF,,,,,Sur Zoom Out,,,,
Surr Zoom In,093,15,phantom7,,,,,Surr Zoom In,,,,
Surr Frz Dow,094,15,phantom8,,,,,Surr Frz Dow,,,,
Surr Frz Up,095,15,phantom9,,,,,Surr Frz Up,,,,
Favorite,097,15,phantom10,,,,,Favorite,,,,
Down,098,15,setup,,,,,Down,,,,
Up,099,15,light,,,,,Up,,,,
Menu -,100,15,theater,,,,,Menu -,,,,
Menu +,101,15,macro1,,,,,Menu +,,,,
Closed Capti,128,15,macro2,,,,,Closed Capti,,,,
Text On,133,15,macro3,,,,,Text On,,,,
Fetch,147,15,macro4,,,,,Fetch,,,,
Input,163,15,1s,,,,,Input,,,,
Alt Audio,176,15,2s,,,,,Alt Audio,,,,
Pip Swap,195,15,3s,,,,,Pip Swap,,,,
100,209,15,4s,,,,,100,,,,
Help,213,15,,,,,,Help,,,,
Audio Menu,225,15,,,,,,Audio Menu,,,,
Video Menu,226,15,,,,,,Video Menu,,,,
Ch. cntrl,229,15,,,,,,Ch. cntrl,,,,
Enter,244,15,,,,,,Enter,,,,
Typical Discret Inputs,,,,,,,,SAT,,,,
SAT,058,7,,,,,,CD,,,,
CD,058,8,,,,,,MISC,,,,
MISC,058,11,,,,,,Component,,,,
Component,058,5,,,,,,DVD S-Vid,,,,
DVD S-Vid,058,13,,,,,,VCR,,,,
VCR,058,14,,,,,,Alternate Menu,,,,
,,,,,,,,,,,,
Alternate Menu,082,15,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
