Name:,Samsung HLP5063 DLP TV,,,,v8.37,,,,,,,CURRENT DATA
left arrow,059,,guide,54 - Favorite channels,,,,,,,,
right arrow,186,,up arrow,18 - up arrow,,,,,,,,
source,185,,down arrow,19 - down arrow,,,,,,,,
last/prev ch,123,,left arrow,20 - left arrow,,,,,,,,
sleep,187,,right arrow,21 - right arrow,,,,,,,,
pip on/off,213,,select,50 - Aspect,,,,,,,,
pip swap,217,,sleep,24 - sleep,,,,,,,,31 - discrete off
pip size,090,,pip,25 - pip on/off,,,,,,,,52 - Picture Mode
pip Channel -,155,,info,17 - display/info,,,,,,,,
pip Channel +,151,,swap,26 - pip swap,,,,,,,,53 - Sound Mode
discrete on,001,,move,27 - pip size,,,,,,,,56 - MTS
discrete off,253,,play,,,,,,,,,
DVD,006,,pause,55 - Freeze Frame,,,,,,,,
VCR,007,,rewind,,,,,,,,,
TV,008,,fwd,,,,,,,,,
STB,010,,stop,,,,,,,,,
Cable,011,,record,,,,,,,,,
Audio-Video 1,188,,exit,,,,,,,,,
Audio-Video 2,083,,surround,,,,,,,,,
Audio-Video 3,076,,input,,,,,,,,,
S-video 1,192,,+100,,,,,,,,,
S-video 2,080,,fav/scan,,,,,,,,,
S-video 3,019,,device button,,,,,,,,,
Component 1,190,,f fwd,,,,,,,,,
Component 2,061,,f rew,,,,,,,,,
Antenna,251,,com/skip,,,,,,,,,
DVI,063,,shift-right,,,,,,,,,
HDMI,067,,pip freeze,,,,,,,,,
DNIe,072,,slow,,,,,,,,,
PC,073,,eject,,,,,,,,,
Aspect,022,,slow+,,,,,,,,,
channel add/erase,249,,slow-,,,,,,,,,
Picture Mode,085,,x2,,,,,,,,,
Sound Mode,091,,center,,,,,,,,,
Favorite channels,102,,rear,,,,,,,,,
Freeze Frame,167,,phantom1,,,,,,,,,
MTS,181,,phantom2,,,,,,,,,
+100,219,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,32 - DVD,,,,,,,,
,,,M2,33 - VCR,,,,,,,,
,,,M3,36 - Cable,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,48 - DNIe,,,,,,,,
,,,L2,49 - PC,,,,,,,,
,,,L3,35 - STB,,,,,,,,
,,,L4,34 - TV,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Firmware version T_ATLNUS_1035,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
