Name:,TV Hitachi LCD 28ld5200e,,,,v8.31,,,,,,,CURRENT DATA
text,198,,shift-right,,,,,,,,,
clocl,069,,pip freeze,,,,,,,,,
rgb1,202,,slow,,,,,,,,,
rgb2,075,,eject,,,,,,,,,
freeze,201,,slow+,,,,,,,,,
zoom,074,,slow-,,,,,,,,,
input switch av,057,,x2,,,,,,,,,
display input,117,,center,,,,,,,,,
nicam a2,053,,rear,,,,,,,,,
pip multi,229,,phantom1,,,,,,,,,38 - zoom
red,036,,phantom2,,,,,,,,,
green,168,,phantom3,,,,,,,,,
yellow,166,,phantom4,,,,,,,,,
blue,170,,phantom5,,,,,,,,,
pict dyn natural sw,230,,phantom6,,,,,,,,,
audio mode,234,,phantom7,,,,,,,,,
matrix surround,251,,phantom8,,,,,,,,,
red text,036,,phantom9,,"same as color, reminder function",,,,,,,
green sub title,168,,phantom10,,,,,,,,,
yellow pip a/b,166,,code search,,,,,,,,,
blue pip 2 4 24,170,,light,,,,,,,,,
xa,,,theater,,,,,,,,,
xb,,,M1,,,,,,,,,
x 0,052,,M2,,From here on JP1 hitachi,,,,,,,
x 1,056,,M3,,,,,,,,,
x 2,054,,macro4,,,,,,,,,
x 3,058,,L1,,,,,,,,,
x 4,244,,L2,,,,,,,,,
x 5,248,,L3,,,,,,,,,
x 6,246,,learn4,,,,,,,,,
x 7,250,,,,,,,,,,,
x 8,180,,,,,,,,,,,
x 9,184,,,,,,,,,,,
x VOL +,119,,,,,,,,,,,
x VOL -,120,,,,,,,,,,,
x MUTE,059,,,,,,,,,,,
x CH +,249,,,,,,,,,,,
x CH -,245,,,,,,,,,,,
x POWER,122,,,,,,,,,,,
x TV ON,022,,,,,,,,,,,
x TV OFF,026,,,,,,,,,,,
x ANT A/B,057,,,,,,,,,,,
x LAST,055,,,,,,,,,,,
x MENU,107,,,,,,,,,,,
x Cursor Up,133,,,,,,,,,,,
x Cursor Down,137,,,,,,,,,,,
x Cursor Left,139,,,,,,,,,,,
x Cursor Right,135,,,,,,,,,,,
x SELECT,086,,,,,,,,,,,
x SLEEP,121,,,,,,,,,,,
x PIP,229,,,,,,,,,,,
x PIP Change,186,,,,,,,,,,,
x PIP Freeze,201,,,,,,,,,,,
x PIP Mode,231,,,,,,,,,,,
x PIP SWAP,233,,,,,,,,,,,
x Picture,230,,,,,,,,,,,
x INFO,117,,,,,,,,,,,
x Video 1,217,,,,,,,,,,,
x Video 2,215,,,,,,,,,,,
x Video 3,219,,,,,,,,,,,
x Video 4,212,,,,,,,,,,,
x Video 5,024,,,,,,,,,,,
x Exit,196,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
