Name:,Viewsonic N3250w TV,,,,v8.38,,,,,,,CURRENT DATA
mute,052,,mute,12 - mute,,,,,,,,
channel up,119,,channel up,13 - channel up,,,,,,,,
channel down,123,,channel down,14 - channel down,,,,,,,,
power,055,,power,15 - power,,,,,,,,
menu,059,,enter,31 - +100,,,,,,,,
program/guide,246,,tv/vid,17 - program/guide,SOURCE asssigned to guide and tv/vid ,,,,,,,
display/info,,,prev,23 - last/prev ch,,,,,,,,
exit,,,menu,16 - menu,,,,,,,,
up arrow,214,,guide,17 - program/guide,,,,,,,,
down arrow,218,,up arrow,18 - up arrow,,,,,,,,
left arrow,085,,down arrow,19 - down arrow,,,,,,,,
right arrow,089,,left arrow,20 - left arrow,,,,,,,,
select,216,,right arrow,21 - right arrow,,,,,,,,
enter,,,select,22 - select,see select,,,,,,,
tv/vcr,,,sleep,24 - sleep,,,,,,,,
last/prev ch,087,,pip,32 - pip on/off,,,,,,,,
sleep,084,,info,,,,,,,,,
play,118,,swap,33 - pip swap,,,,,,,,
pause,251,,move,34 - pip move,,,,,,,,
rewind,120,,play,25 - play,,,,,,,,
fast fwd,116,,pause,26 - pause,,,,,,,,
stop,245,,rewind,27 - rewind,,,,,,,,
record,244,,fwd,28 - fast fwd,,,,,,,,
f.fwd/next track,,,stop,29 - stop,,,,,,,,
f.rew/prev track,,,record,30 - record,,,,,,,,
+100,058,,exit,,,,,,,,,
pip on/off,091,,surround,,,,,,,,,
pip swap,247,,input,,,,,,,,,
pip move,212,,+100,,WIDE 16:9/4:3,,,,,,,
pip freeze,122,,fav/scan,,PIP SOURCE,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,,,,,,,,,
,,,f rew,,,,,,,,,
,,,com/skip,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
v.2 031006 added the rest of the buttons except Recall and +100,,,,,,,,,,,,,
v.3 031306 added Recall and +100 to Prev and Enter button; ,,,,,,,,,,,,,
Source added to TV/Vid (also on Guide as before),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
