Name:,Vmax H-264 DVR,,,,v9.21,,,,,,,,CURRENT DATA
rec,011,,mute,33 - mute,,,,,,,,,08
esc,012,,channel up,,,,,,,,,,06
seq,014,,channel down,,,,,,,,,,07
freeze,015,,power,,,,,,,,,,03
pip,016,,enter,,,,,,,,,,12
zoom,017,,tv/vcr,,,,,,,,,,18
call mon,018,,last,,,,,,,,,,13
ch+,019,,menu,34 - menu,,,,,,,,,29
ch-,020,,program / guide,,,,,,,,,,28
Plus +,021,,up arrow,,,,,,,,,,31
minus -,022,,down arrow,,,,,,,,,,32
book mark,023,,left arrow,,,,,,,,,,33
search,024,,right arrow,,,,,,,,,,34
play,025,,select,,,,,,,,,,35
backup,026,,sleep,,,,,,,,,,2C
PTZ,027,,pip,,,,,,,,,,2D
up,028,,display,,,,,,,,,,2A
down,029,,swap,,,,,,,,,,2F
left,030,,move,,,,,,,,,,2E
right,031,,play,25 - play,,,,,,,,,0C
ok,064,,pause,,,,,,,,,,0F
mute,065,,rewind,,,,,,,,,,0B
menu,066,,fast fwd,,,,,,,,,,0D
|<,067,,stop,41 - stop,,,,,,,,,0E
<,068,,record,,,,,,,,,,10
>,069,,exit,,,,,,,,,,2B
>|,070,,surround,,,,,,,,,,30
<<,071,,,,,,,,,,,,
|| pause,072,,,,,,,,,,,,
stop,073,,,,,,,,,,,,
>>,074,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3A
,,,phantom2,,,,,,,,,,3B
,,,phantom3,,,,,,,,,,3C
,,,phantom4,,,,,,,,,,3D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,light,,,,,,,,,,20
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,1s,,,,,,,,,,21
,,,2s,,,,,,,,,,22
,,,3s,,,,,,,,,,23
,,,4s,,,,,,,,,,24
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,17 - zoom,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
DVR1 is device 17,,,,,,,,,,,,,
DVR2 is device 18,,,,,,,,,,,,,
DVR3 is device 19,,,,,,,,,,,,,
DVR4 is device 20,,,,,,,,,,,,,
DVR5 is device 21,,,,,,,,,,,,,
DVR6 is device 22,,,,,,,,,,,,,
DVR7 is device 23,,,,,,,,,,,,,
DVR8 is device 24,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
