Name:,Motorola DCT-6416 Dual Tuner DVR,,,,v8.43,,,,,,,CURRENT DATA
Day Down,174,,play,41 - Play,,,,,,,,37 - OnDemand
A,077,,pause,40 - Pause,,,,,,,,36 - PPV
B,237,,rewind,43 - Rewind,,,,,,,,
C,114,,fast fwd,42 - Forward,,,,,,,,
Music/Enter,082,,stop,39 - Stop,,,,,,,,
PPV,210,,record,44 - Record,,,,,,,,
OnDemand,208,,exit,26 - Exit,,,,,,,,
DVR,175,,surround,46 - Live,,,,,,,,
Stop,211,,input,,,,,,,,,
Pause,205,,+100,,,,,,,,,
Play,204,,fav/scan,,,,,,,,,
Forward,207,,device button,,,,,,,,,
Rewind,209,,next track,,,,,,,,,
Record,046,,prev track,,,,,,,,,
Replay,179,,shift-left,,,,,,,,,
Live,177,,shift-right,,,,,,,,,
Skip Ahead,173,,pip freeze,,,,,,,,,
Swap,236,,slow,,,,,,,,,
Parental Lock,081,,eject,,,,,,,,,
"Input (""TV/VCR"")",083,,slow+,,,,,,,,,
HD Zoom,034,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
"A (From 6412, non-op on 6416)",241,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,1s,,,,,,,,,
,,,2s,,,,,,,,,
,,,3s,,,,,,,,,
,,,4s,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
"based on Robman's ""DCT-2000(2244)- V2"" and",,,,,,,,,,,,,
"Xero's ""DCT-6412 w/15-2117""",,,,,,,,,,,,,
,,,,,,,,,,,,,
"This version for the 6416 tweaked, etc. by Neil Coig",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
From Leon McKee's post at:,,,,,,,,,,,,,
http://www.remotecentral.com/cgi-bin/mboard/rc-prontong/thread.cgi?4999,,,,,,,,,,,,,
,,,,,,,,,,,,,
You will need to use a slight Macro hack to get the on and off to work correctly:,,,,,,,,,,,,,
"On would be: Menu, delay, Toggle Power, delay, Toggle Power",,,,,,,,,,,,,
"Off would be: Menu, delay, Toggle Power",,,,,,,,,,,,,
"You'll need to test the delay, but 1 second is more than enough",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
