Name:,Scientific Atlanta Explorer,,,,v9.17,,,,,,,,CURRENT DATA
c / #,049,1,,,,,,,,,,,
play,051,1,next track,46 - page up,,,,,,,,,2B
stop,052,1,prev track,47 - page down,,,,,,,,,2A
record,053,1,,,,,,,,,,,
page up,054,1,,,,,,,,,,,
page down,055,1,,,,,,,,,,,
settings,057,1,slow,34 - instant replay / slow,,,,,,,,,2E
Aspect (#),058,1,,,"normal, stretch, zoom1, zoom2",,,,,,,,
pip on/off,059,1,,,,,,,,,,,
pip swap,060,1,,,,,,,,,,,
pip move,061,1,,,,,,,,,,,
Menu2,062,1,,,,,,,,,,,
pip chan down,063,1,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3D
OBC 27,027,1,phantom2,,,,,,,,,,3E
OBC 35,035,1,phantom3,,,,,,,,,,3F
OBC 42,042,1,phantom4,,,,,,,,,,40
OBC 50,050,1,,,,,,,,,,,
OBC 56,056,1,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,subtitle,,,,,,,,,,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,PVR menu (blue),48 - settings,,,,,,,,,36
,,,replay,34 - instant replay / slow,,,,,,,,,27
,,,advance,26 - live,,,,,,,,,29
,,,,,,,,,,,,,
,,,thumbs up (green),01 - Next Day,,,,,,,,,2C
,,,thumbs down (red),00 - Previous Day,,,,,,,,,2D
,,,audio/CC,,,,,,,,,,37
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
This upgrade was made by combining the codes from several,,,,,,,,,,,,,
"sources. One was an upgrade for a 2000, another was for an",,,,,,,,,,,,,
8000. Also used were the codes from UEI and the hifi-remote.com,,,,,,,,,,,,,
web site.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
