Name:,Pioneer-Cable-BDV1000,,,,v9.19,,,,,,,,CURRENT DATA
vol down,246,,vol down,11 - vol down,,,,,,,,,03
mute,248,,mute,12 - mute,,,,,,,,,02
channel up,215,,channel up,13 - channel up,,,,,,,,,04
channel down,217,,channel down,14 - channel down,,,,,,,,,05
power,021,,power,15 - power,,,,,,,,,07
enter,155,,enter,16 - enter,,,,,,,,,21
tv/vcr,,,tv/vcr,28 - favorites,,,,,,,,,22
last (prev ch),153,,prev ch,17 - last (prev ch),,,,,,,,,23
menu,,,menu,18 - program guide,,,,,,,,,24
program guide,025,,prog,32 - settings,,,,,,,,,A4
up arrow,024,,up arrow,19 - up arrow,,,,,,,,,2E
down arrow,148,,down arrow,20 - down arrow,,,,,,,,,2D
left arrow,020,,left arrow,21 - left arrow,,,,,,,,,2C
right arrow,027,,right arrow,22 - right arrow,,,,,,,,,2B
select,155,,select,23 - select,,,,,,,,,25
sleep,,,sleep,,,,,,,,,,82
pip on/off,,,pip on/off,25 - a,,,,,,,,,32
display,,,display,,,,,,,,,,A3
pip swap,,,pip swap,26 - b,,,,,,,,,26
pip move,,,pip move,27 - c,,,,,,,,,33
play,,,play,,,,,,,,,,12
pause,,,pause,,,,,,,,,,09
rewind,,,rewind,,,,,,,,,,1A
fast fwd,,,fast fwd,,,,,,,,,,0A
stop,,,stop,,,,,,,,,,11
record,,,record,,,,,,,,,,19
exit,123,,clear,27 - c,,,,,,,,,A5
surround,,,surround,29 - info,,,,,,,,,2A
input toggle,,,,,,,,,,,,,
input select,,,,,,,,,,,,,
a,117,,,,,,,,,,,,
b,058,,ht | power,,,,,,,,,,39
c,054,,,,,,,,,,,,
favorites,213,,,,,,,,,,,,
info,154,,shift-up,,,,,,,,,,AE
page up,057,,shift-down,,,,,,,,,,AD
page down,053,,pip freeze,,,,,,,,,,B2
settings,182,,slow,,,,,,,,,,92
,,,eject,,,,,,,,,,91
,,,slow+,,,,,,,,,,8A
,,,slow-,,,,,,,,,,9A
,,,x2,,,,,,,,,,89
,,,center,,,,,,,,,,29
,,,rear,,,,,,,,,,A9
,,,phantom1,,,,,,,,,,B6
,,,phantom2,,,,,,,,,,3B
,,,phantom3,,,,,,,,,,3C
,,,phantom4,,,,,,,,,,3D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,1F
,,,light,,,,,,,,,,31
,,,home theater,,,,,,,,,,35
,,,macro1,,,,,,,,,,2F
,,,macro2,,,,,,,,,,27
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,30 - page up,,,,,,,,,
,,,,31 - page down,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,shift-left,,,,,,,,,,AC
,,,shift-right,,,,,,,,,,AB
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
