Name:,Motorola DCT-6412-III,,,,v8.31,,,,,,,CURRENT DATA
A,241,,pause,40 - Pause,,,,,,,,
B,237,,rewind,43 - Rewind,,,,,,,,
C,114,,fwd,42 - Forward,,,,,,,,
Music/Enter,082,,stop,39 - Stop,,,,,,,,
PPV,210,,record,44 - Record,,,,,,,,
OnDemand,208,,exit,26 - Exit,,,,,,,,
DVR,175,,surround,,,,,,,,,
Stop,211,,input,,,,,,,,,
Pause,205,,+100,,,,,,,,,
Play,204,,fav,,,,,,,,,
Forward,207,,device button,,,,,,,,,
Rewind,209,,f fwd,47 - Skip Ahead,,,,,,,,46 - Live
Record,046,,f rew,45 - Replay,,,,,,,,
Replay,179,,shift-left,,,,,,,,,
Live,177,,shift-right,,,,,,,,,
Skip Ahead,173,,pip freeze,,,,,,,,,
Swap,236,,slow,,,,,,,,,
Parental Lock,081,,eject,,,,,,,,,
"Input (""TV/VCR"")",083,,slow+,,,,,,,,,
HD Zoom,034,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,28 - Page Up,,,,,,,,
,,,M2,29 - Page Down,,,,,,,,
,,,M3,30 - Day Up,,,,,,,,
,,,M4,31 - Day Down,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
"based on Robman's ""DCT-2000(2244)- V2"" and",,,,,,,,,,,,,
"Xero's ""DCT-6412 w/15-2117""",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
From Leon McKee's post at:,,,,,,,,,,,,,
http://www.remotecentral.com/cgi-bin/mboard/rc-prontong/thread.cgi?4999,,,,,,,,,,,,,
,,,,,,,,,,,,,
You will need to use a slight Macro hack to get the on and off to work correctly:,,,,,,,,,,,,,
"On would be: Menu, delay, Toggle Power, delay, Toggle Power",,,,,,,,,,,,,
"Off would be: Menu, delay, Toggle Power",,,,,,,,,,,,,
"You'll need to test the delay, but 1 second is more than enough",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
