Name:,Dish Network,,,,v9.19,,,,,,,,CURRENT DATA
num 9,211,,9,09 - num 9,,,,,,,,,1E
vol up,,,vol up,,,,,,,,,,04
vol down,,,vol down,,,,,,,,,,05
mute,,,mute,,,,,,,,,,08
channel up,081,,channel up,10 - channel up,,,,,,,,,06
channel down,209,,channel down,11 - channel down,,,,,,,,,07
power,082,,power,12 - power,,,,,,,,,03
enter,016,,enter,13 - enter,,,,,,,,,12
tv/vcr,,,tv/vcr,,,,,,,,,,18
last (prev ch),049,,last,14 - last (prev ch),,,,,,,,,13
menu,051,,menu,15 - menu,,,,,,,,,2F
program guide,144,,guide,16 - program guide,,,,,,,,,22
up arrow,081,,up arrow,17 - up arrow,,,,,,,,,31
down arrow,209,,down arrow,18 - down arrow,,,,,,,,,32
left arrow,145,,left arrow,19 - left arrow,,,,,,,,,33
right arrow,017,,right arrow,20 - right arrow,,,,,,,,,34
select,016,,select,21 - select,,,,,,,,,2E
sleep,,,sleep,,,,,,,,,,30
pip on/off,060,,,,,,,,,,,,
info,018,,info,23 - info,,,,,,,,,23
pip swap,056,,,,,,,,,,,,
pip move,026,,,,,,,,,,,,
play,050,,play,26 - play,,,,,,,,,0C
pause,014,,pause,27 - pause,,,,,,,,,0F
rewind,236,,rewind,28 - rewind,,,,,,,,,0B
fast fwd,076,,fast fwd,29 - fast fwd,,,,,,,,,0D
stop,238,,stop,30 - stop,,,,,,,,,0E
record,177,,record,31 - record,,,,,,,,,10
exit,080,,exit,32 - exit,,,,,,,,,24
PVR,237,,,,,,,,,,,,
skip +30,172,,,,,,,,,,,,
skip -10,204,,+100,,,,,,,,,,20
Page up,179,,,,,,,,,,,,
Page down,178,,,,,,,,,,,,
*,110,,,,,,,,,,,,
#,206,,,,,,,,,,,,
Sys info,142,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3A
,,,phantom2,,,,,,,,,,3B
,,,phantom3,,,,,,,,,,3C
,,,phantom4,,,,,,,,,,3D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,light,,,,,,,,,,35
,,,theater,,,,,,,,,,36
,,,music,,,,,,,,,,25
,,,movie,,,,,,,,,,26
,,,sport,,,,,,,,,,27
,,,news,,,,,,,,,,28
,,,1s,,,,,,,,,,2A
,,,2s,,,,,,,,,,2B
,,,3s,,,,,,,,,,2C
,,,4s,,,,,,,,,,2D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
