Name:,SpaceStar 500,,,,v8.38,,,,,,,CURRENT DATA
num 2,008,,2,02 - num 2,,,,,,,,
num 3,015,,3,03 - num 3,,,,,,,,
num 4,002,,4,04 - num 4,,,,,,,,
num 5,009,,5,05 - num 5,,,,,,,,
num 6,016,,6,06 - num 6,,,,,,,,
num 7,003,,7,07 - num 7,,,,,,,,
num 8,010,,8,08 - num 8,,,,,,,,
num 9,017,,9,09 - num 9,,,,,,,,
vol up,005,,vol up,,,,,,,,,
vol down,006,,vol down,,,,,,,,,
mute,014,,mute,12 - mute,,,,,,,,
channel up,019,,channel up,13 - channel up,,,,,,,,
channel down,020,,channel down,14 - channel down,,,,,,,,
power,000,,power,15 - power,,,,,,,,
menu,018,,enter,33 - aux input,,,,,,,,
program/guide,068,,tv/vcr,,,,,,,,,
display/info,022,,last,34 - Q - last ch,,,,,,,,
exit,012,,menu,16 - menu,,,,,,,,
up arrow,007,,guide,17 - program/guide,,,,,,,,
down arrow,029,,up arrow,20 - up arrow,,,,,,,,
left arrow,021,,down arrow,21 - down arrow,,,,,,,,
right arrow,067,,left arrow,22 - left arrow,,,,,,,,
select,028,,right arrow,23 - right arrow,,,,,,,,
sat,004,,select,24 - select,,,,,,,,
tv/sat,070,,sleep,,,,,,,,,
tv/radio,024,,pip on/off,,,,,,,,,
fav,013,,info,18 - display/info,,,,,,,,
red - alt audio,023,,pip swap,,,,,,,,,
green - pause,030,,pip move,,,,,,,,,
yellow - subtitle,069,,play,32 - blue - teletext,,,,,,,,
blue - teletext,027,,pause,30 - green - pause,,,,,,,,
aux input,031,,rewind,31 - yellow - subtitle,,,,,,,,
Q - last ch,066,,fast fwd,,,,,,,,,
,,,stop,,,,,,,,,
,,,record,29 - red - alt audio,,,,,,,,
,,,exit,19 - exit,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav,28 - fav,,,,,,,,
,,,device button,,,,,,,,,
,,,page up,26 - tv/sat,,,,,,,,
,,,page down,27 - tv/radio,,,,,,,,
,,,day up,,,,,,,,,
,,,day down,,,,,,,,,
,,,a,,,,,,,,,
,,,b,,,,,,,,,
,,,c,,,,,,,,,
,,,lock,25 - sat,,,,,,,,
,,,help,,,,,,,,,
,,,bypass,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,F1,,,,,,,,,
,,,F2,,,,,,,,,
,,,F3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
