Name:,Voom Motorola,,,,v9.12,,,,,,,CURRENT DATA
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Upgrade protocol 0 = 00 A4 (S3C8+),,,,,,,,,,,,,
3D 91 41 8B 12 F5 45 04 08 01 F4 05 C8 01 F4 01 ,,,,,,,,,,,,,
E0 C3 3C 09 C4 03 D4 B0 C0 1C 04 28 07 87 31 02 ,,,,,,,,,,,,,
4C 02 F0 C3 C0 C2 FB 02 B2 03 4A F6 1A EF 09 03 ,,,,,,,,,,,,,
8D 01 46 ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
