Name:,Setpal,,,,v7.10,,,,,,,CURRENT DATA
channel down,247,,channel down,12 - channel down,,,,,,,,
power,117,,power,13 - power,,,,,,,,
select,245,,auto,28 - blue,,,,,,,,
text,250,,tv/vcr,tv/vcr,,,,,,,,
swap,246,,prev ch,,,,,,,,,
status,212,,menu,29 - cancel,,,,,,,,
guide,181,,guide,program guide,,,,,,,,
up arrow,118,,up arrow,19 - up arrow,,,,,,,,
down arrow,247,,down arrow,20 - down arrow,,,,,,,,
left arrow,122,,left arrow,21 - left arrow,,,,,,,,
right arrow,249,,right arrow,22 - right arrow,,,,,,,,
wide,213,,OK,14 - select,,,,,,,,
info,123,,sleep,sleep,,,,,,,,
red,116,,pip on/off,pip on/off,,,,,,,,
green,251,,display,display,,,,,,,,
yellow,120,,pip swap,pip swap,,,,,,,,
blue,244,,pip move,pip move,,,,,,,,
cancel,248,,play,18 - guide,,,,,,,,
audio,215,,pause,24 - info,,,,,,,,
subtitles,217,,rewind,15 - text,,,,,,,,
,,,fast fwd,16 - swap,,,,,,,,
,,,stop,26 - green,,,,,,,,
,,,record,27 - yellow,,,,,,,,
,,,exit,29 - cancel,,,,,,,,
,,,surround,surround,,,,,,,,
,,,av,23 - wide,,,,,,,,
,,,+10,17 - status,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,device button,,,,,,,,
,,,shift-up,shift-up,,,,,,,,
,,,sp/lp,25 - red,,,,,,,,
,,,exit,shift-left,,,,,,,,
,,,normalize,shift-right,,,,,,,,
,,,a,18 - guide,,,,,,,,
,,,b,15 - text,,,,,,,,
,,,c,31 - subtitles,,,,,,,,
,,,color+ ($_vol+),slow+,,,,,,,,
,,,color- ($_vol-),slow-,,,,,,,,
,,,bright+ ($_ch+),X2,,,,,,,,
,,,bright- ($_ch-),center,,,,,,,,
,,,d,23 - wide,,,,,,,,
,,,e,Phantom1,,,,,,,,
,,,f,Phantom2,,,,,,,,
,,,g,24 - info,,,,,,,,
,,,h,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,descreteOFF,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
