Name:,Cable/1291 (1291),[Cable-1291 (1291)] [URC-8206 (Euro Kameleon)] [EFC],,,v9.06,,,,,,,
GUIDE,108,,GUIDE,20 - GUIDE,,,,,,,,
UP,126,,UP,21 - UP,,,,,,,,
DOWN,110,,DOWN,22 - DOWN,,,,,,,,
LEFT,158,,LEFT,23 - LEFT,,,,,,,,
RIGHT,142,,RIGHT,24 - RIGHT,,,,,,,,
OK,206,,OK,25 - OK,,,,,,,,
SLEEP,,,SLEEP,,,,,,,,,
(pip on/off),,,(pip on/off),,,,,,,,,
INFO,030,,INFO,28 - INFO,,,,,,,,
(pip swap),,,(pip swap),,,,,,,,,
(pip move),,,(pip move),,,,,,,,,
PLAY,,,PLAY,,,,,,,,,
PAUSE,,,PAUSE,,,,,,,,,
REW,,,REW,,,,,,,,,
FF,,,FF,,,,,,,,,
STOP,,,STOP,,,,,,,,,
REC,,,REC,,,,,,,,,
EXIT,238,,EXIT,37 - EXIT,,,,,,,,
(surround),,,(surround),,,,,,,,,
AV,031,,AV,39 - AV,,,,,,,,
-/--,,,-/--,,,,,,,,,
FAV,,,FAV,,,,,,,,,
(device button),,,(device button),,,,,,,,,
SKIP+,,,SKIP+,,,,,,,,,
SKIP-,,,SKIP-,,,,,,,,,
RED,237,,RED,45 - RED,,,,,,,,
GREEN,092,,GREEN,46 - GREEN,,,,,,,,
BLUE,252,,BLUE,47 - BLUE,,,,,,,,
YELLOW,222,,YELLOW,48 - YELLOW,,,,,,,,
(eject),,,(eject),,,,,,,,,
(slow+),,,(slow+),,,,,,,,,
(slow-),,,(slow-),,,,,,,,,
(x2),,,(x2),,,,,,,,,
(center),,,(center),,,,,,,,,
(rear),,,(rear),,,,,,,,,
(phantom1),,,(phantom1),,,,,,,,,
TXT-ON,028,,TXT-ON,56 - TXT-ON,,,,,,,,
TXT-OFF,,,TXT-OFF,,,,,,,,,
BACK\TXT-EXPAND,063,,BACK\TXT-EXPAND,58 - BACK\TXT-EXPAND,,,,,,,,
(phantom5),,,(phantom5),,,,,,,,,
(phantom6),,,(phantom6),,,,,,,,,
(phantom7),,,(phantom7),,,,,,,,,
(phantom8),,,(phantom8),,,,,,,,,
(phantom9),,,(phantom9),,,,,,,,,
(phantom10),,,(phantom10),,,,,,,,,
(setup),,,(setup),,,,,,,,,
(light),,,(light),,,,,,,,,
(theater),,,(theater),,,,,,,,,
A,,,A,,,,,,,,,
B,,,B,,,,,,,,,
C,,,C,,,,,,,,,
TV/SAT,,,TV/SAT,,,,,,,,,
(learn1),,,(learn1),,,,,,,,,
(learn2),,,(learn2),,,,,,,,,
(learn3),,,(learn3),,,,,,,,,
(learn4),,,(learn4),,,,,,,,,
(?phantom?),,,(?phantom?),,,,,,,,,
(?phantom?),,,(?phantom?),,,,,,,,,
AUDIO,,,AUDIO,,,,,,,,,
SUBT,,,SUBT,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
Cable/1291 (1291),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
