Name:,Pioneer 5080,,,,v9.09a,,,,,,,CURRENT DATA
Digital,49606,03,swap,61 - pip swap,,,,,,,,
Display,24517,00,move,59 - PIP Position,,,,,,,,
Enter,36293,00,play,62 - play,,,,,,,,
Exit / Back,04544,05,pause,56 - pause,,,,,,,,
Fast Forward,52421,00,rewind,70 - rewind,,,,,,,,
Green / Favorite C,37056,05,fwd,33 - Fast Forward,,,,,,,,
HDMI Control,52928,05,stop,74 - stop,,,,,,,,
Home Media Gallery,53440,05,record,67 - record,,,,,,,,
Home Menu,03520,05,exit,32 - Exit / Back,,,,,,,,
i.Link,49350,03,surround,,,,,,,,,
Info,04288,05,input,,,,,,,,,
Input,46021,00,+100,,,,,,,,,
Input 1,16326,03,fav/scan,,,,,,,,,
Input 2,17350,03,device button,,,,,,,,,
Input 3,15558,03,f fwd,,,,,,,,,
Input 4,16582,03,f rew,,,,,,,,,
Input 5,16070,03,com/skip,,,,,,,,,
Input 6,17094,03,shift-right,,,,,,,,,
Input 7,49862,03,pip freeze,,,,,,,,,
Menu Down,04805,00,slow,,,,,,,,,
Menu Left,04293,00,eject,,,,,,,,,
Menu Right,03269,00,slow+,,,,,,,,,
Menu Up,03781,00,slow-,,,,,,,,,
Movies/Music,36288,05,x2,,,,,,,,,
Muting,25029,00,center,,,,,,,,,
Page Down,52416,05,rear,,,,,,,,,
Page Up,54208,05,phantom1,,,,,,,,,
Pause,54213,00,phantom2,,,,,,,,,
PC,48326,03,phantom3,,,,,,,,,
PIP Freeze,03266,07,phantom4,,,,,,,,,
PIP Position,04802,07,phantom5,,,,,,,,,
PIP Split,03522,07,phantom6,,,,,,,,,
PIP Swap,04290,07,phantom7,,,,,,,,,
Play,53189,00,phantom8,,,,,,,,,
Power,11461,00,phantom9,,,,,,,,,
Power Consumption,49602,07,phantom10,,,,,,,,,
Power Off,13253,00,setup,,,,,,,,,
Power On,12229,00,light,,,,,,,,,
Record,19909,00,home theater,,,,,,,,,
Red / Favorite B,36032,05,M1,,,,,,,,,
Return,04032,05,M2,,,,,,,,,
Rewind,53445,00,M3,,,,,,,,,
Screen Size,20418,07,macro4,,,,,,,,,
Signal Tools,05056,05,L1,,,,,,,,,
Sleep,48578,07,L2,,,,,,,,,
Stop,52677,00,L3,,,,,,,,,
Surround,65474,07,L4,,,,,,,,,
TV Guide,03264,05,,,,,,,,,,
TV Menu,04800,05,,,,,,,,,,
TV/DTV Ant A/B,27845,00,,,,,,,,,,
Volume Down,29637,00,,,,,,,,,,
Volume Up,28613,00,,,,,,,,,,
Yellow / Favorite D,36544,05,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TV/DTV,27845,00,,,,,,,,,,
Volume Down,29637,00,,,,,,,,,,
Volume Up,28613,00,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 7E (S3C8+) ,,,,,,,,,,,,,
40 84 62 8B 14 A5 54 08 08 01 12 00 F0 01 12 03 ,,,,,,,,,,,,,
02 32 B4 10 B0 08 39 00 02 08 0A C0 C0 56 C0 0B ,,,,,,,,,,,,,
7B 0B 87 10 03 19 03 46 29 01 8D 01 46 87 10 04 ,,,,,,,,,,,,,
19 04 56 29 EF 0C 03 A6 0D 02 EB 02 0C 05 09 0D ,,,,,,,,,,,,,
B0 01 E6 10 01 F6 FF 56 FB 06 F6 FF 50 7B F1 AF ,,,,,,,,,,,,,
E6 01 05 E6 10 06 F6 01 46 8D 01 0A ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
