Name:,CBL/1959,,,,v9.19,,,,,,,,CURRENT DATA
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Upgrade protocol 0 = 01 55 (HCS08),,,,,,,,,,,,,
 20 0C 22 47 41 00 00 D1 00 84 00 4D 00 84 AD 41,,,,,,,,,,,,,
 19 61 6E 80 62 B6 64 B7 63 0E 64 14 62 A4 0C BA,,,,,,,,,,,,,
 62 B7 62 38 63 38 63 AD 1D 24 04 18 62 20 F8 81,,,,,,,,,,,,,
 3F 62 3F 63 A4 0F 99 39 63 39 62 98 4B F9 AD 06,,,,,,,,,,,,,
 25 FC 3F 62 3F 63 B6 61 A8 80 B7 61 AD 03 CC FF,,,,,,,,,,,,,
 92 15 61 17 61 AD 4E 3F 55 3F 56 8C BE 56 E6 60,,,,,,,,,,,,,
 AD 19 3C 56 05 56 F4 AE 6E CD FF 65 45 70 26 CD,,,,,,,,,,,,,
 FF 74 45 00 01 CD FF 74 11 25 81 B7 54 62 44 A4,,,,,,,,,,,,,
 07 AD 06 B6 54 44 44 A4 07 B7 53 AE 6E 00 55 04,,,,,,,,,,,,,
 AE 6A 10 55 CD FF 65 B6 53 27 09 45 00 24 CD FF,,,,,,,,,,,,,
 74 3B 53 F7 81 B6 60 A4 C0 B7 60 3F 52 45 00 04,,,,,,,,,,,,,
 E6 5F AD 0C 5B FA 40 A4 0F 48 48 BA 60 B7 60 81,,,,,,,,,,,,,
 B7 50 62 44 AD 04 B6 50 44 44 A4 07 BB 52 B7 52,,,,,,,,,,,,,
 81,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
