Name:,Sky Plus - PACE TDS850NS,,,,v9.19,,,,,,,,CURRENT DATA
8,008,,8,08 - 8,,,,,,,,,1D
9,009,,9,09 - 9,,,,,,,,,1E
Channel Down,014,,vol up,42 - Volume Up,,,,,,,,,04
Channel Up,013,,vol down,41 - Volume Down,,,,,,,,,05
Esc,038,,mute,28 - mute,,,,,,,,,08
Fast Forward,050,,channel up,11 - channel up,,,,,,,,,06
Fastext Blue,067,,channel down,10 - channel down,,,,,,,,,07
Fastext Green,065,,power,32 - power,,,,,,,,,03
Fastext Red,064,,enter,,,,,,,,,,12
Fastext Yellow,066,,tv/vid,39 - Text / Picture Mode,,,,,,,,,13
Guida TV,080,,prev,,,,,,,,,,23
Help,087,,menu,23 - menu,,,,,,,,,21
Info,085,,guide,18 - Guida TV,,,,,,,,,14
Interactive,084,,up arrow,27 - Menu Up,,,,,,,,,31
Low Voltage,089,,down arrow,24 - Menu Down,,,,,,,,,32
Menu,032,,left arrow,25 - Menu Left,,,,,,,,,33
Menu Down,034,,right arrow,26 - Menu Right,,,,,,,,,34
Menu Left,035,,select,29 - OK,,,,,,,,,35
Menu Right,036,,angle/sleep,,,,,,,,,,26
Menu Up,033,,pip,,,,,,,,,,2F
Mute,012,,info,20 - Info,,,,,,,,,18
OK,037,,swap,,,,,,,,,,20
Pause,049,,move,,,,,,,,,,30
Play,051,,play,31 - play,,,,,,,,,0C
Power,015,,pause (yellow),30 - pause,,,,,,,,,0F
Power Off,088,,rewind,36 - rewind,,,,,,,,,0B
Primafila,082,,fast fwd,13 - Fast Forward,,,,,,,,,0D
Record,052,,stop,38 - stop,,,,,,,,,0E
Rewind,048,,record,35 - record,,,,,,,,,10
SKY,083,,exit,12 - Esc,,,,,,,,,24
Stop,053,,,,,,,,,,,,
Text / Picture Mode,086,,,,,,,,,,,,
TV,081,,,,,,,,,,,,
Volume Down,011,,,,,,,,,,,,
Volume Up,010,,,,,,,,,,,,
,,,next track,,,,,,,,,,2B
,,,prev track,,,,,,,,,,2A
,,,,,,,,,,,,,
,,,,,,,,,,,,,
skip+/next+,,,,,,,,,,,,,
skip-/next-,,,slow,,,,,,,,,,2E
list/PVR menu,,,,,,,,,,,,,
replay,,,,,,,,,,,,,
advance/jump,,,,,,,,,,,,,
live TV,,,,,,,,,,,,,
thumbs up,,,,,,,,,,,,,
thumbs down,,,,,,,,,,,,,
open-close/eject,,,phantom1,,,,,,,,,,3D
pip on/off,,,phantom2,,,,,,,,,,3E
pip swap,,,phantom3,,,,,,,,,,3F
pip move,,,phantom4,,,,,,,,,,40
pip freeze,,,,,,,,,,,,,
pip channel up,,,,,,,,,,,,,
pip channel down,,,,,,,,,,,,,
caption,,,,,,,,,,,,,
aspect,,,,,,,,,,,,,
zoom,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,subtitle,,,,,,,,,,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,PVR menu (blue),,,,,,,,,,36
,,,replay,,,,,,,,,,27
,,,advance,,,,,,,,,,29
,,,,,,,,,,,,,
,,,thumbs up (green),,,,,,,,,,2C
,,,thumbs down (red),,,,,,,,,,2D
,,,audio/CC,,,,,,,,,,37
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
