Name:,DVD/0675 (1675),,,,v8.37,,,,,,,CURRENT DATA
num 2,166,,2,02 - num 2,,,,,,,,
num 3,170,,3,03 - num 3,,,,,,,,
num 4,037,,4,04 - num 4,,,,,,,,
num 5,041,,5,05 - num 5,,,,,,,,
num 6,039,,6,06 - num 6,,,,,,,,
num 7,043,,7,07 - num 7,,,,,,,,
num 8,036,,8,08 - num 8,,,,,,,,
num 9,040,,9,09 - num 9,,,,,,,,
Vol UP,,,vol up,,,,,,,,,
Vol DOWN,,,vol down,,,,,,,,,
MUTE,,,mute,,,,,,,,,
Channel UP,234,,channel up,10 - Channel UP,,,,,,,,
Channel DOWN,232,,channel down,11 - Channel DOWN,,,,,,,,
POWER,169,,power,12 - POWER,,,,,,,,
ENTER,135,,enter,13 - ENTER,,,,,,,,
TV/VIDEO[A/B],,,tv/video,,,,,,,,,
(prev ch),,,last,,,,,,,,,
MENU,137,,menu,14 - MENU,,,,,,,,
GUIDE,132,,guide,15 - GUIDE,,,,,,,,
Arrow_UP,138,,up arrow,16 - Arrow_UP,,,,,,,,
Arrow_DOWN,005,,down arrow,17 - Arrow_DOWN,,,,,,,,
Arrow_LEFT,136,,left arrow,18 - Arrow_LEFT,,,,,,,,
Arrow_RIGHT,134,,right arrow,19 - Arrow_RIGHT,,,,,,,,
SELECT,135,,select,20 - SELECT,,,,,,,,
(sleep),,,sleep,,,,,,,,,
(pip on/off),,,pip,,,,,,,,,
INFO,104,,info,21 - INFO,,,,,,,,
(pip swap),,,swap,,,,,,,,,
(pip move),,,move,,,,,,,,,
PLAY,230,,play,22 - PLAY,,,,,,,,
PAUSE,235,,pause,23 - PAUSE,,,,,,,,
REW,103,,rewind,24 - REW,,,,,,,,
FFWD,107,,fast fwd,25 - FFWD,,,,,,,,
STOP[EJECT],197,,stop,26 - STOP[EJECT],,,,,,,,
(record),,,record,,,,,,,,,
EXIT,139,,exit,27 - EXIT,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,DiscreteON,,,,,,,,,
,,,DiscreteOFF,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,my system,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
"[DVD-0675 (1675)] [15-2117 , 15-2116] [EFC]",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
