Name:,AMX,,,,v9.13,,,,,,,CURRENT DATA,
30,030,,swap,,,,,,,,,,3C
31,031,,move,,,,,,,,,,3B
32,032,,play,,,,,,,,,,0C
33,033,,pause,,,,,,,,,,0F
34,034,,rewind,,,,,,,,,,0B
35,035,,fwd,,,,,,,,,,0D
36,036,,stop,,,,,,,,,,0E
37,037,,record,,,,,,,,,,10
38,038,,exit,,,,,,,,,,37
39,039,,,,,,,,,,,,
40,040,,,,,,,,,,,,
41,041,,,,,,,,,,,,
42,042,,,,,,,,,,,,
43,043,,,,,,,,,,,,
44,044,,f fwd,,,,,,,,,,2A
45,045,,f rew,,,,,,,,,,29
46,046,,,,,,,,,,,,
47,047,,,,,,,,,,,,
48,048,,,,,,,,,,,,
49,049,,,,,,,,,,,,
50,050,,,,,,,,,,,,
51,051,,,,,,,,,,,,
52,052,,,,,,,,,,,,
53,053,,,,,,,,,,,,
54,054,,,,,,,,,,,,
55,055,,,,,,,,,,,,
56,056,,phantom1,,,,,,,,,,3D
57,057,,phantom2,,,,,,,,,,3E
58,058,,phantom3,,,,,,,,,,3F
59,059,,,,,,,,,,,,
60,060,,,,,,,,,,,,
61,061,,,,,,,,,,,,
62,062,,,,,,,,,,,,
63,063,,,,,,,,,,,,
64,064,,,,,,,,,,,,
65,065,,,,,,,,,,,,
66,066,,setup,,,,,,,,,,02
67,067,,light,,,,,,,,,,39
68,068,,home theater,,,,,,,,,,24
69,069,,M1,,,,,,,,,,2D
70,070,,M2,,,,,,,,,,2E
71,071,,M3,,,,,,,,,,2F
72,072,,,,,,,,,,,,
73,073,,L1,,,,,,,,,,25
74,074,,L2,,,,,,,,,,26
75,075,,L3,,,,,,,,,,27
76,076,,L4,,,,,,,,,,28
77,077,,,,,,,,,,,,
78,078,,,,,,,,,,,,
79,079,,,,,,,,,,,,
80,080,,,,,,,,,,,,
81,081,,,,,,,,,,,,
82,082,,,,,,,,,,,,
83,083,,,,,,,,,,,,
84,084,,,,,,,,,,,,
85,085,,,,,,,,,,,,
86,086,,,,,,,,,,,,
87,087,,,,,,,,,,,,
88,088,,,,,,,,,,,,
89,089,,com/skip,,,,,,,,,,2B
90,090,,,,,,,,,,,,
91,091,,,,,,,,,,,,
92,092,,,,,,,,,,,,
93,093,,,,,,,,,,,,
94,094,,,,,,,,,,,,
95,095,,,,,,,,,,,,
96,096,,,,,,,,,,,,
97,097,,,,,,,,,,,,
98,098,,,,,,,,,,,,
99,099,,,,,,,,,,,,
100,100,,,,,,,,,,,,
101,101,,,,,,,,,,,,
102,102,,,,,,,,,,,,
103,103,,,,,,,,,,,,
104,104,,,,,,,,,,,,
105,105,,,,,,,,,,,,
106,106,,,,,,,,,,,,
107,107,,,,,,,,,,,,
108,108,,,,,,,,,,,,
109,109,,,,,,,,,,,,
110,110,,,,,,,,,,,,
111,111,,,,,,,,,,,,
112,112,,,,,,,,,,,,
113,113,,,,,,,,,,,,
114,114,,,,,,,,,,,,
115,115,,,,,,,,,,,,
116,116,,,,,,,,,,,,
117,117,,,,,,,,,,,,
118,118,,,,,,,,,,,,
119,119,,,,,,,,,,,,
120,120,,,,,,,,,,,,
121,121,,,,,,,,,,,,
122,122,,,,,,,,,,,,
123,123,,,,,,,,,,,,
124,124,,,,,,,,,,,,
125,125,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,,
Upgrade protocol 0 = 01 FF (S3C8+) AMX (PB v4.00),,,,,,,,,,,,,,
 43 8C 01 8B 0E 84 01 08 08 03 E3 03 CF 00 F5 06 ,,,,,,,,,,,,,,
 BC 3E 80 8D 01 46 ,,,,,,,,,,,,,,
End,,,,,,,,,,,,,,
Upgrade protocol 0 = 01 FF (HCS08) AMX (PB v4.00),,,,,,,,,,,,,,
 20 0E 23 46 01 84 01 08 08 03 E3 03 E3 00 F5 06 ,,,,,,,,,,,,,,
 D0 3E 80 CC FF 5F ,,,,,,,,,,,,,,
End,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
