Name:,RCA Home Theater 1609 Upgrade,,,,v7.51,,,,,,,CURRENT DATA
exit,202,154,exit,32 - exit,,,,,,,,
surround,088,106,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,33 - surround,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,,,next track,,,,,,,,,
prev track,,,prev track,,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,freeze,,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,235,154,slow+,,,,,,,,,
slow-,171,154,slow-,,,,,,,,,
x2,,,x2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
DVD/CD,058,154,phantom1,,,,,,,,,
Tuner,129,106,phantom2,,,,,,,,,
Aux,212,106,phantom3,,,,,,,,,
Tape,128,106,phantom4,,,,,,,,,
Sat,216,106,phantom5,,,,,,,,,
VCR,214,106,DiscreteON,,,,,,,,,
TV,125,106,DiscreteOFF,,,,,,,,,
FM Mode,071,106,phantom8,,FM Stereo or Mono,,,,,,,
Tunning Mode,083,106,phantom9,,FM preset or tunning,,,,,,,
Program,104,154,phantom10,,Program Button,,,,,,,
Clear,102,154,setup,,,,,,,,,
Title,196,154,light,,Which title on a DVD,,,,,,,
Repeat,106,154,my system,,Repeat Play,,,,,,,
Random,231,154,macro1,,Random Play,,,,,,,
Angle,203,154,macro2,,Angle DVD,,,,,,,
Zoom,100,154,macro3,,Zoom DVD,,,,,,,
Audio,201,154,macro4,,Audio Type Button,,,,,,,
Sub Title,199,154,learn1,,Sub Title,,,,,,,
Test Tone,082,106,learn2,,test Tone for setup,,,,,,,
Tone,253,106,learn3,,Tone,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Works with RCA Home Theaters with built in DVD Player HTS-3000,,,,,,,,,,,,,
Based on the RECEIVER Code 1609 found on the 15-2116 only,,,,,,,,,,,,,
Changing inputs is done using shift and the number keys.,,,,,,,,,,,,,
The standard 1609 def uses unshifted number keys preventing their use in tuning.,,,,,,,,,,,,,
Note that the buttons change on the original remote depending,,,,,,,,,,,,,
whether you are in DVD mode or tuner mode.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
