Name:,Yamaha AX-620,,,,v7.03,,,,,,,CURRENT DATA
num 5,100,,5,05 - num 5,D-TV/CBL,,,,,,,31 - shift-left
num 6,058,,6,06 - num 6,VCR1,,,,,,,32 - shift-right
num 7,116,,7,07 - num 7,Phono,,,,,,,33 - pip freeze
num 8,104,,8,08 - num 8,V-Aux,,,,,,,34 - slow
num 9,123,,9,09 - num 9,VCR2/DVR,,,,,,,35 - eject
vol up,247,,vol up,10 - vol up,,,,,,,,
vol down,251,,vol down,11 - vol down,,,,,,,,
mute,244,,mute,12 - mute,,,,,,,,
channel up,117,,channel up,13 - channel up,,,,,,,,
channel down,121,,channel down,14 - channel down,,,,,,,,
power,250,,power,15 - power,Power Toggle,,,,,,,
enter,,,auto,enter,,,,,,,,
tv/vcr,,,tv/vcr,tv/vcr,,,,,,,,
last (prev ch),,,prev ch,last (prev ch),,,,,,,,
menu,252,,menu,16 - menu,Menu,,,,,,,
program guide,,,guide,program guide,,,,,,,,
up arrow,253,,up arrow,17 - up arrow,,,,,,,,
down arrow,001,,down arrow,18 - down arrow,,,,,,,,
left arrow,107,,left arrow,19 - left arrow,,,,,,,,
right arrow,103,,right arrow,20 - right arrow,,,,,,,,
select,245,,enter,21 - select,??,,,,,,,
sleep,106,,sleep,22 - sleep,Sleep,,,,,,,
pip on/off,190,,pip on/off,pip on/off,Level Adjust,,,,,,,
display,175,,display,display,Display Toggle,,,,,,,
pip swap,,,pip swap,pip swap,,,,,,,,
pip move,,,pip move,pip move,,,,,,,,
play,,,play,play,,,,,,,,
pause,,,pause,pause,,,,,,,,
rewind,,,rewind,rewind,,,,,,,,
fast fwd,,,fast fwd,fast fwd,,,,,,,,
stop,,,stop,23 - pip on/off,,,,,,,,
record,,,record,25 - input toggle,,,,,,,,
exit,,,exit,exit,,,,,,,,
surround,,,surround,surround,,,,,,,,
input toggle,192,,av,35 - eject,Test Mode,,,,,,,
+100,102,,+10,26 - +100,Effect (DSP Toggle),,,,,,,
fav/scan,061,,fav/scan,fav/scan,DSP Hall,,,,,,,
device button,065,,device button,device button,DSP Jazz,,,,,,,
shift-up,063,,shift-up,shift-up,DSP Rock,,,,,,,
shift-down,067,,sp/lp,24 - display,DSP Entertainment,,,,,,,
shift-left,060,,shift-left,shift-left,DSP TV Sports,,,,,,,
shift-right,064,,normalize,,DSP Mono Movie,,,,,,,
pip freeze,062,,a,,DSP Movie 1,,,,,,,
slow,066,,b,,DSP Movie 2,,,,,,,
eject,125,,c,,DSP Enhanced,,,,,,,
slow+,,,color+ ($_vol+),slow+,,,,,,,,
slow-,,,color- ($_vol-),slow-,,,,,,,,
X2,,,bright+ ($_ch+),X2,,,,,,,,
center,,,bright- ($_ch-),center,,,,,,,,
rear,,,d,rear,,,,,,,,
,,,e,,,,,,,,,
,,,f,,,,,,,,,
,,,g,,,,,,,,,
,,,h,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,descreteOFF,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Cycling works_ so hitting av cycles through the pro logic dsp modes,,,,,,,,,,,,,
4 cycles through dvd auto->analog->dts etc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
