Name:,RCVR-0695 - Sony STR-DE695,,,,v9.05,,,,,,,CURRENT DATA
Direct,00158,48,input,41 - Tuner - Direct Tuning,{not with the model STR-DE695},,,,,,,
ACC Bi-Ling,00077,48,last,11 - Input Mode (Auto/A/C/O),{not with the model STR-DE695},,,,,,,
SB Decoding,00025,176,menu,24 - Main Menu,,,,,,,,
,,,dsp,,,,,,,,,
Power,00079,48,up arrow,26 - Joystick - up,,,,,,,,
,,,down arrow,27 - Joystick - down,,,,,,,,32 - Dimmer - rotate down
Muting,00083,48,left arrow,28 - Joystick - left,,,,,,,,
Master Vol +,00080,48,right arrow,29 - Joystick - right,,,,,,,,
Master Vol -,00076,48,select,,,,,,,,,
,,,sleep,,,,,,,,,
Main Menu,00053,176,pip on/off,,,,,,,,,
On Screen,00092,48,info,33 - Display,{not with the model STR-DE695},,,,,,,
,,,pip swap,,,,,,,,,
Joystick - up,00186,176,pip move,,Item - prevous,,,,,,,
Joystick - down,00182,176,play,37 - Tuner-Shift band (A/B/C),Item - next,,,,,,,
Joystick - left,00184,176,pause,21 - Muting,Jog -,,,,,,,
Joystick - right,00180,176,rewind,39 - Tuner-Preset/CH/D Skip-,Jog +,,,,,,,
Joystick-enter,00147,48,fast fwd,38 - Tuner-Preset/CH/D Skip+,,,,,,,,
,,,stop,41 - Tuner - Direct Tuning,,,,,,,,
Sleep,00002,48,record,40 - Tuner - Memory,,,,,,,,
Dimmer - rotate down,00159,48,exit,30 - Joystick-enter,,,,,,,,31 - Sleep
Display,00156,48,surround,13 - A.F.D.(1),,,,,,,,34 - Equalizer - on/off
,,,input.,,,,,,,,,
Equalizer - on/off,00155,176,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
Tuner - AM/FM toggle,00141,48,device button,,,,,,,,,
Tuner - FM Mode (M/S),00103,176,skip fwd,42 - Tuner - Tune/Scan +,,,,,,,,
Tuner-Shift band (A/B/C),00054,176,skip back,43 - Tuner - Tune/Scan -,,,,,,,,
Tuner-Preset/CH/D Skip+,00082,48,shift-left,,,,,,,,,
Tuner-Preset/CH/D Skip-,00078,48,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
Tuner - Memory,00145,48,skip,72 - Sound Field - rotate +,,,,,,,,73 - Sound Field - rotate -
Tuner - Direct Tuning,00106,176,eject,,,,,,,,,
Tuner - Tune/Scan +,00100,176,slow+,,,,,,,,,
Tuner - Tune/Scan -,00107,176,subtitle,36 - Tuner - FM Mode (M/S),,,,,,,,35 - Tuner - AM/FM toggle
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
Tuner-Alt-1,00018,48,phantom1,33 - Display,,,,,,,,
Tuner-Alt-2,00014,48,phantom2,,,,,,,,,
Tuner-Alt-3,00016,48,phantom3,,,,,,,,,
Tuner-Alt-4,00012,48,phantom4,,,,,,,,,
Tuner-Alt-5,00019,48,phantom5,,,,,,,,,
Tuner-Alt-6,00015,48,phantom6,,,,,,,,,
Tuner-Alt-7,00017,48,phantom7,,,,,,,,,
Tuner-Alt-8,00013,48,phantom8,,,,,,,,,
Tuner-Alt-9,00146,48,phantom9,,,,,,,,,
Tuner-Alt-0/10,00142,48,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
Discrete On,00113,48,light,,,,,,,,,
Discrete Off,00109,48,Home Theater,,,,,,,,,
,,,Macro 1,,,,,,,,,
MD/Tape(2),00236,48,Macro 2,,,,,,,,,
Movie(2),00233,176,Macro 3,,,,,,,,,
A.F.D.(2),00024,176,Macro 4,,,,,,,,,
,,,front (up),12 - 2 CH,,,,,,,,
,,,rear (down),15 - Music,,,,,,,,19 - SB Decoding
Level - Bal R+1,00237,48,center (left),14 - Movie(1),,,,,,,,
Level - Bal L+1,00241,48,test (right),16 - Test Tone,,,,,,,,
Level - SW +.5,00227,48,tuner 00,10 - Multi.Channel - toggle,,,,,,,,
Level - SW -.5,00223,48,tuner 01,00 - Video-1,,,,,,,,
Level - CTR +.5,00091,176,tuner 02,01 - Video-2,,,,,,,,
Level - CTR -.5,00087,176,tuner 03,02 - Video-3,,,,,,,,
Level - SB +.5,00216,176,tuner 04,03 - DVD,,,,,,,,
Level - SB -.5,00212,176,tuner 05,04 - TV/Sat,,,,,,,,
,,,tuner 06,05 - MD/Tape(1),,,,,,,,
Tuner - Shift to band A,00249,176,tuner 07,06 - CD/SACD,,,,,,,,
Tuner - Shift to band B,00245,176,tuner 08,07 - Tuner,,,,,,,,
Tuner - Shift to band C,00058,176,tuner 09,09 - Aux,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Input Mode - rotate +,00118,176,,,,,,,,,,
Input Mode - rotate -,00120,176,,,,,,,,,,
,,,,,,,,,,,,
Sound Field - rotate +,00121,176,,,,,,,,,,
Sound Field - rotate -,00117,176,,,,,,,,,,
,,,,,,,,,,,,
Speakers - A/B/A+B,,,,,,,,,,,,
,,,,,,,,,,,,
Joystick - up(2),00056,176,,,Item - prevous,,,,,,,
Joystick - down(2),00052,176,,,Item - next,,,,,,,
Joystick - left(2),00059,176,,,Jog -,,,,,,,
Joystick - right(2),00055,176,,,Jog +,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Workable mapping for the Sony Receiver model: STR-DE695,,,,,,,,,,,,,
derived from the,,,,,,,,,,,,,
Sony OEM Remote: RM-PP412,,,,,,,,,,,,,
and brute force hack to determine receiver remote codes.,,,,,,,,,,,,,
Not all receiver functions are mapped onto OEM RM-PP412 remote,,,,,,,,,,,,,
and Sony remote defines functions not supported by receiver (barf!),,,,,,,,,,,,,
,,,,,,,,,,,,,
This KM upgrade uses functions not used by the OEM Sony remote,,,,,,,,,,,,,
and as a result can operate functions on the receiver that the Sony,,,,,,,,,,,,,
remote couldn't dream of!  For example the VCR controls fully operate,,,,,,,,,,,,,
"the tuner (both AM and FM including scan, memory, presets, direct",,,,,,,,,,,,,
"inputs, FM/AM toggle, Stereo/Mon toggle, etc.)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Closest UEI Device Types: 1758 / 1759  (which don't work well),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
One missing function: The UEI code that switches speaker setups,,,,,,,,,,,,,
ie: Speakers - Off/A/B/A+B  (Sony remote couldn't do this either),,,,,,,,,,,,,
"If someone discovers the code, please share…  I hate having to walk",,,,,,,,,,,,,
up to the receiver to switch speaker systems - it's so un-remotish.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Version 1.1 - Removed Shift-Menu keymove (caused problems with KM V9.05),,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
