Name:,Kenwood 313,,,,v9.19,,,,,,,,CURRENT DATA
MUTE,252,,mute,12 - mute,,,,,,,,,08
Channel UP,001,,channel up,13 - channel up,,,,,,,,,06
Channel DOWN,060,,channel down,14 - channel down,,,,,,,,,07
POWER,000,,power,15 - power,,,,,,,,,03
ENTER,,,enter,,,,,,,,,,12
TV/VCR,254,,tv/vcr,,,,,,,,,,18
LAST,,,last,,,,,,,,,,13
MENU,,,menu,,,,,,,,,,2F
GUIDE,,,guide,,,,,,,,,,22
Arrow UP,178,,up arrow,,,,,,,,,,31
Arrow DOWN,174,,down arrow,,,,,,,,,,32
Arrow LEFT,,,left arrow,,,,,,,,,,33
Arrow RIGHT,,,right arrow,,,,,,,,,,34
SELECT,053,,select,19 - select,,,,,,,,,2E
SLEEP,130,,sleep,34 - sound mode,,,,,,,,,30
(pip on/off),,,,,,,,,,,,,
INFO,229,,info,,,,,,,,,,23
(pip swap),,,,,,,,,,,,,
(pip move),,,,,,,,,,,,,
PLAY,051,,play,15 - power,,,,,,,,,0C
PAUSE,,,pause,,,,,,,,,,0F
REW,046,,rewind,,,,,,,,,,0B
FF,050,,fast fwd,,,,,,,,,,0D
STOP,049,,stop,,,,,,,,,,0E
REC,,,record,,,,,,,,,,10
EXIT,,,exit,,,,,,,,,,24
(surround),,,,,,,,,,,,,
(input),,,,,,,,,,,,,
[+100],234,,+100,,,,,,,,,,20
device button,,,,,,,,,,,,,
shift-up,,,,,,,,,,,,,
shift-down,,,,,,,,,,,,,
shift-left,,,,,,,,,,,,,
shift-right,,,,,,,,,,,,,
pip freeze,,,,,,,,,,,,,
slow,,,,,,,,,,,,,
eject,,,,,,,,,,,,,
slow+,,,,,,,,,,,,,
slow-,,,,,,,,,,,,,
X2,,,,,,,,,,,,,
center,,,,,,,,,,,,,
rear,,,,,,,,,,,,,
Phantom1,,,,,,,,,,,,,
Phantom2,,,phantom1,,,,,,,,,,3A
fav/scan,,,phantom2,,,,,,,,,,3B
pip channel up,151,,phantom3,,,,,,,,,,3C
pip channel down,155,,phantom4,,,,,,,,,,3D
pip tv/vid,212,,,,,,,,,,,,
tv/component,171,,,,,,,,,,,,
picture size,022,,,,,,,,,,,,
still,167,,,,,,,,,,,,
picture mode,085,,,,,,,,,,,,
sound mode,091,,,,,,,,,,,,
add/erase,249,,setup,,,,,,,,,,02
mts,181,,light,,,,,,,,,,35
r. surf,024,,theater,,,,,,,,,,36
Add test,123,,music,,,,,,,,,,25
,,,movie,,,,,,,,,,26
,,,sport,,,,,,,,,,27
,,,news,,,,,,,,,,28
,,,1s,,,,,,,,,,2A
,,,2s,,,,,,,,,,2B
,,,3s,,,,,,,,,,2C
,,,4s,,,,,,,,,,2D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
