Name:,Yamaha HTR-5650/5640 HTR Receiver,,,,v7.51,,,,,,,CURRENT DATA
DVD Input,177,,3,35 - Rock Concert,,,,,,,,04 - MD/CD-R Input
MD/CD-R Input,245,,4,39 - Entertainment,,,,,,,,03 - DVD Input
DTV/CBL Input,122,,5,32 - Music Video,,,,,,,,07 - AUX Input
VCR Input 2,048,,6,36 - TV Theater,,,,,,,,02 - VCR input
AUX Input,104,,7,34 - Movie Theater 1,,,,,,,,05 - DTV/CBL Input
Night Mode,128,,8,38 - Movie Theater 2,,,,,,,,
Stereo Toggle,102,,9,40 - Dolby Digital/DTS,,,,,,,,
vol up,247,,vol up,10 - vol up,,,,,,,,
vol down,251,,vol down,11 - vol down,,,,,,,,
mute,244,,mute,12 - mute,,,,,,,,
Tuner preset up,117,,channel up,13 - Tuner preset up,,,,,,,,
Tuner preset down,121,,channel down,14 - Tuner preset down,,,,,,,,
Sleep,106,,power,16 - Power On (Discrete),,,,,,,,
Power On (Discrete),248,,enter,,,,,,,,,
Power Off (Discrete),246,,tv/video,,,,,,,,,
Menu/(Presets A/B/C/D/E),119,,last,,,,,,,,,
Preset 1,208,,menu,,,,,,,,,
Preset 2,206,,guide,,,,,,,,,
Preset 3,210,,up arrow,,,,,,,,,
Preset 4,077,,down arrow,,,,,,,,,
Preset 5,081,,left arrow,55 - Prev Effect,,,,sleep,,,,
Preset 6,079,,right arrow,56 - Next Effect,,,,,,,,
Preset 7,083,,select,,,,,,,,,
Preset 8,076,,sleep,15 - sleep,,,,sleep,,,,
Group A,205,,pip,,,,,,,,,
Group B,209,,info,,,,,,,,,
Group C,207,,swap,,,,,,,,,
Group D,211,,move,,,,,,,,,
Group E,204,,play,,,,,,,,,
Music Video,060,,pause,,,,,,,,,
Concert Hall,061,,rewind,,,,,,,,,
Movie Theater 1,062,,fast fwd,,,,,,,,,
Rock Concert,063,,stop,,,,,,,,,
TV Theater,064,,record,,,,,,,,,
Jazz Club,065,,exit,,,,,,,,,
Movie Theater 2,066,,surround,,,,,,,,,
Entertainment,067,,input,,,,,,,,,
Dolby Digital/DTS,125,,+100,,,,,,,,,
6 Ch Input,194,,fav/scan,,,,,,,,,
DTV/CBL Input Dup,100,,device button,,Dup of 122,,,,,,,
MD/CDR Input Dup,049,,next track,,Dup of 245,,,,,,,
6.1/5.1,130,,prev track,,,,,,,,,
Option menu,000,,shift-left,,,,,,,,,
(Delay Times/Levels),001,,shift-right,,,,,,,,,
Menu,002,,freeze,,,,,,,,,
Test,192,,slow,,,,,,,,,
Set Menu,252,,eject,,,,,,,,,
Basic menu,254,,slow+,,,,,,,,,
Level,190,,slow-,,,,,,,,,
Dsp Levels,172,,x2,,,,,,,,,
6 Channel,229,,center,,,,,,,,,
(Prev Channel),233,,rear,,Not Tested,,,,,,,
Prev Effect,107,,phantom1,,,,,,,,,
Next Effect,103,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,DiscreteON,16 - Power On (Discrete),,,,,,,,
,,,DiscreteOFF,17 - Power Off (Discrete),,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,my system,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Similar to Yamaha HTR-5550/54x0 but specific to 5650/5640,,,,,,,,,,,,,
Tested with 5650,,,,,,,,,,,,,
All possible EFC's were tried to find any code that did anything.,,,,,,,,,,,,,
These models do not respond to power toggle 250,,,,,,,,,,,,,
Other differences between this and 5550 are surround modes,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
