Name:,Luxman R117,,,,v9.21,,,,,,,,CURRENT DATA
fm,068,,8,09 - video-1 Television,,,,,,,,,1D
am,070,,9,10 - video-2 JVC DVD/VCR,,,,,,,,,1E
vol up,093,,vol up,02 - vol up,,,,,,,,,04
vol down,092,,vol down,03 - vol down,,,,,,,,,05
tape-1 Satellite radio,067,,mute,,,,,,,,,,08
tape-2 audio from cable,066,,channel up,11 - tune up,,,,,,,,,06
phono,065,,channel down,12 - tune down,,,,,,,,,07
cd,064,,power,,,,,,,,,,03
video disc iPod dock,084,,enter,,,,,,,,,,12
video-1 Television,077,,,,,,,,,,,,
video-2 JVC DVD/VCR,078,,prev,,,,,,,,,,13
tune up,019,,menu,,,,,,,,,,27
tune down,020,,guide,,,,,,,,,,2C
memory up,014,,up arrow,13 - memory up,,,,,,,,,31
memory down,015,,down arrow,14 - memory down,,,,,,,,,32
option,,,left arrow,11 - tune up,,,,,,,,,33
menu,,,right arrow,12 - tune down,,,,,,,,,34
guide,,,ok,,,,,,,,,,35
info/display,,,sleep,,,,,,,,,,28
exit,,,pip,,,,,,,,,,36
up arrow,,,info,,,,,,,,,,26
down arrow,,,swap,,,,,,,,,,37
left arrow,,,move,,,,,,,,,,14
right arrow,,,play,,,,,,,,,,0C
ok/select,,,pause,,,,,,,,,,0F
yellow/A,,,rewind,,,,,,,,,,0B
blue/B,,,fast fwd,,,,,,,,,,0D
red/C,,,stop,,,,,,,,,,0E
green/D,,,record,,,,,,,,,,10
page up,,,exit,,,,,,,,,,2B
page down,,,,,,,,,,,,,
day+,,,input,,,,,,,,,,20
day-,,,+100,,,,,,,,,,38
play,,,fav,,,,,,,,,,18
pause,,,,,,,,,,,,,
rewind,,,skip+,,,,,,,,,,2D
fast fwd,,,skip-,,,,,,,,,,2E
stop,,,,,,,,,,,,,
record,,,,,,,,,,,,,
skip+/next+,,,,,,,,,,,,,
skip-/next-,,,,,,,,,,,,,
list/PVR menu,,,,,,,,,,,,,
replay,,,,,,,,,,,,,
advance/jump,,,,,,,,,,,,,
live TV,,,,,,,,,,,,,
thumbs up,,,,,,,,,,,,,
thumbs down,,,,,,,,,,,,,
open-close/eject,,,phantom1,15 - discrete on,,,,,,,,,3B
pip on/off,,,phantom2,16 - discrete off,,,,,,,,,3F
pip swap,,,phantom3,,,,,,,,,,40
pip move,,,phantom4,,,,,,,,,,41
pip freeze,,,,,,,,,,,,,
pip channel up,,,,,,,,,,,,,
pip channel down,,,,,,,,,,,,,
caption,,,,,,,,,,,,,
aspect,,,,,,,,,,,,,
zoom,,,,,,,,,,,,,
discrete on,089,,setup,,,,,,,,,,02
discrete off,095,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,M1,,,,,,,,,,3C
,,,M2,,,,,,,,,,3D
,,,(M3),,,,,,,,,,3E
,,,,,,,,,,,,,
,,,L1,,,,,,,,,,23
,,,L2,,,,,,,,,,24
,,,L3,,,,,,,,,,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,CC,,,,,,,,,,30
,,,format,,,,,,,,,,2F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
