Name:,HK-AVR30,,,,v8.31,,,,,,,CURRENT DATA
input: Phono,175,0,guide,42 - Tuner Display (toggle),,,,,,,,
Arrow Up,189,1,up arrow,21 - Arrow Up,,,,,,,,
Arrow Down,193,1,down arrow,22 - Arrow Down,,,,,,,,
Arrow Left,195,1,left arrow,23 - Arrow Left,,,,,,,,
Arrow Right,191,1,right arrow,24 - Arrow Right,,,,,,,,
Enter,188,1,select,25 - Enter,,,,,,,,
FM,193,0,sleep,,,,,,,,,
AM,191,0,pip,,,,,,,,,
Tune up,188,0,info,,,,,,,,,
Tune down,192,0,swap,47 - Direct (toggle),,,,,,,,
Seek,129,0,move,,,,,,,,,
Scan (toggle),126,0,play,11 - input: VDP,,,,,,,,12 - input: VCP
Shift,066,0,pause,07 - Loudness (toggle),,,,,,,,06 - Mono (toggle)
Memory,190,0,rewind,09 - input: VCR1,,,,,,,,10 - input: VCR2
num 1,194,0,fwd,13 - input: SAT,,,,,,,,14 - input: TV
num 2,061,0,stop,18 - input: CD,,,,,,,,17 - input: AUX
num 3,065,0,record,08 - input: Simulcast (toggle),,,,,,,,
num 4,063,0,exit,,,,,,,,,
num 5,067,0,surround,,,,,,,,,
num 6,060,0,input,,,,,,,,,
num 7,064,0,+100,,,,,,,,,
num 8,062,0,fav,,,,,,,,,
Tuner Display (toggle),189,0,device button,,,,,,,,,
Preset Display Off?,127,0,f fwd,19 - input: Tuner,,,,,,,,20 - input: Phono
Preset Display Off?,124,0,f rew,15 - input: Tape1,,,,,,,,16 - input: Tape2
Preset Display Off?,253,0,shift-left,,,,,,,,,
Preset Display Off?,125,0,shift-right,,,,,,,,,
Direct (toggle),065,1,pip freeze,,,,,,,,,
Surround Mode (cycle next),192,1,slow,,,,,,,,,
Surround Mode (cycle prev),190,1,eject,,,,,,,,,
mode: ProLogic,002,1,slow+,,,,,,,,,
mode: Sim. Surround,131,1,slow-,,,,,,,,,
mode: Club,129,1,x2,,,,,,,,,
mode: Movie,254,1,center,,,,,,,,,
mode: Theater,127,1,rear,,,,,,,,,
mode: Stadium,124,1,phantom1,,,,,,,,,
mode: Hall,125,1,phantom2,,,,,,,,,
Center (cycle next),064,1,phantom3,,,,,,,,,
Delay (cycle next),063,1,phantom4,,,,,,,,,
Effects Up,194,1,phantom5,,,,,,,,,
Effects Down,061,1,phantom6,,,,,,,,,
Test,060,1,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,48 - Surround Mode (cycle next),,,,,,,,
,,,L2,57 - Center (cycle next),,,,,,,,
,,,L3,58 - Delay (cycle next),,,,,,,,
,,,L4,59 - Effects Up,,,,,,,,60 - Effects Down
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
