Name:,Sony Receiver Combo,,,,v8.33,,,,,,,CURRENT DATA
tuner preset c,050,13,slow,,,,,,,,,
shift,051,13,eject,,,,,,,,,
sound field off,063,144,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
video 5,065,16,x2,,,,,,,,,
video 3,066,16,center,,,,,,,,,
sound field,067,144,rear,,,,,,,,,
video 4,067,16,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
md/dat,070,16,phantom3,,,,,,,,,
sound field +,070,144,phantom4,,,,,,,,,
multi/2ch,073,16,phantom5,,,,,,,,,
test tone,074,144,phantom6,,,,,,,,,
display mode_ clock display,075,16,phantom7,,,,,,,,,
EQ/Tone,076,144,phantom8,,,,,,,,,
display_ dimmer,077,16,phantom9,,,,,,,,,
rear level +,078,18,phantom10,,,,,,,,,
rear level -,079,18,setup,,,,,,,,,
index up,080,13,light,,,,,,,,,
index down,081,13,home theater,,,,,,,,,
index,082,13,M1,,,,,,,,,
on screen,083,16,M2,,,,,,,,,
direct freq input,083,13,M3,,,,,,,,,
titler on/off,084,16,macro4,,,,,,,,,
center level +,084,18,L1,,,,,,,,,
,,,L2,,,,,,,,,
center level -,085,18,L3,,,,,,,,,
geq link_ sound field,087,13,L4,,,,,,,,,
,,,,,,,,,,,,
program/function,088,16,,,,,,,,,,
,,,,,,,,,,,,
function,089,16,,,,,,,,,,
subwoofer level +,092,16,,,,,,,,,,
subwoofer level -,093,16,,,,,,,,,,
sleep,096,16,,,,,,,,,,
timer select_ right,098,16,,,,,,,,,,
timer set_ left,101,16,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
md/dat 2,105,16,,,,,,,,,,
tv/sat,106,16,,,,,,,,,,
dvd/ld,107,16,,,,,,,,,,
5.1 DVD,114,16,,,,,,,,,,
select/ok_ change DSP mode,119,144,,,,,,,,,,
up,120,144,,,,,,,,,,
down,121,144,,,,,,,,,,
left_ level +,122,144,,,,,,,,,,
right_ level -,123,144,,,,,,,,,,
EQ,124,144,,,,,,,,,,
dvd/ld 2,125,16,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
