Name:,Pioneer Receiver,,,,v9.07,,,,,,,CURRENT DATA
Tuner Class,064,3,power,60 - RCVR Power toggle,,,,,,,,
Tuner PTY Search,066,3 90,enter,17 - Tuner Direct Access,new +,,,,,,,
Tuner Direct Access,067,3,tv/vid,,,,,,,,,
Tuner Menu,070,3,prev,87 - RCVR exit (return),,,,,,,,
Tuner Display,074,3,menu,62 - RCVR DSP,,,,,,,,
Tuner Text/RDS,074,3,guide,97 - RCVR Advanced surround,duplicate?,,,,,,,
Tuner Scan,077,3,up arrow,74 - RCVR Arrow1 up,,,,,,,,
Tuner HITS,078,3,down arrow,75 - RCVR Arrow1 down,,,,,,,,
Tuner Frequency +,086,3,left arrow,77 - RCVR Arrow1 left,,,,,,,,
Tuner Frequency -,087,3,right arrow,76 - RCVR Arrow1 right,,,,,,,,
Tuner edit,088,3,select,78 - RCVR select/enter,,,,,,,,
Tuner Enter,089,3,sleep,66 - RCVR Sleep,,,,,,,,
Tuner EON,090,3,pip,,new +,,,,,,,
Tuner Custom,092,3,info,,,,,,,,,
,,,swap,,,,,,,,,
INPUT: TV/SAT,012,2,move,,,,,,,,,
INPUT: LD,013,2,play,,,,,,,,,
INPUT: VCR2,014,2,pause,,,,,,,,,
INPUT: VCR1/DVR,015,2,rewind,,,,,,,,,
INPUT: SAT,016,2,fwd,,,,,,,,,
INPUT: TAPE,017,2,stop,,,,,,,,,
INPUT: VIDEO 1,022,2,record,,,,,,,,,
INPUT: VIDEO 2,023,2,exit,87 - RCVR exit (return),,,,,,,,
INPUT: Tuner / band,071,2,surround,,,,,,,,,
INPUT: CD,076,2,input,,,,,,,,,
INPUT: Phono,077,2,+100,,,,,,,,,
INPUT: AUX/DVD,079,2,fav/scan,,,,,,,,,
INPUT: video select,084,2,device button,,"recategorized as ""INPUT""",,,,,,,
INPUT: toggle increment,085,2,f fwd,,"recategorized as ""INPUT""",,,,,,,
INPUT: toggle decrement,086,2 193,f rew,,new +,,,,,,,
INPUT: Multichannel,094,2,com/skip,,"recategorized as ""INPUT""",,,,,,,
INPUT: HDMI1,094,2 202,shift-right,,new +,,,,,,,
INPUT: HDMI2,094,2 203,pip freeze,,new +,,,,,,,
INPUT: DVD/LD,133,2,slow,,,,,,,,,
INPUT: CD-R/TAPE/MD,136,2,eject,,,,,,,,,
INPUT: DVR/VCR,137,2,slow+,,,,,,,,,
INPUT: AM,138,2,slow-,,,,,,,,,
INPUT: FM,139,2,x2,,,,,,,,,
INPUT: DVR2,158,2 202,center,,new +,,,,,,,
INPUT: iPod,158,2 203,rear,,new +,,,,,,,
INPUT: USB,158,2 205,phantom1,,new +,,,,,,,
,,,phantom2,,,,,,,,,
RCVR Volume +,010,2,phantom3,,,,,,,,,
RCVR Volume -,011,2,phantom4,,,,,,,,,
RCVR mute,018,2,phantom5,,,,,,,,,
RCVR Power on (discrete),026,2,phantom6,,,,,,,,,
RCVR Power off (discrete),027,2,phantom7,,,,,,,,,
RCVR Power toggle,028,2,phantom8,,,,,,,,,
RCVR monitor on/off,029,2,phantom9,,,,,,,,,
RCVR DSP,064,2,phantom10,,,,,,,,,
RCVR Rear Level +,065,2,setup,,,,,,,,,
RCVR Rear Level -,066,2,light,,,,,,,,,
RCVR loudness,068,2,home theater,,,,,,,,,
RCVR Sleep,072,2,M1,,,,,,,,,
RCVR Arrow3 RIGHT,073,2,M2,,,,,,,,,
RCVR Arrow3 LEFT,075,2,M3,,,,,,,,,
RCVR mute on (discrete),081,2,macro4,,,,,,,,,
RCVR mute off (discrete),082,2,L1,,,,,,,,,
RCVR speaker a/b,086,2,L2,,,,,,,,,
RCVR bass +,087,2,L3,,,,,,,,,
RCVR multi ch input,094,2,L4,,,,,,,,,
RCVR Arrow1 up,128,2,,,,,,,,,,
RCVR Arrow1 down,129,2,,,,,,,,,,
RCVR Arrow1 right,130,2,,,,,,,,,,
RCVR Arrow1 left,131,2,,,,,,,,,,
RCVR select/enter,132,2,,,,,,,,,,
,,,,,,,,,,,,
RCVR (Digit 9),019,2 208,,,new + (see note 4 on setup page),,,,,,,
RCVR signal select,086,2 3,,,OBCs reversed,,,,,,,
RCVR effect/ch sel,086,2 4,,,OBCs reversed,,,,,,,
RCVR dimmer,086,2 6,,,OBCs reversed,,,,,,,
RCVR AV Parameter,090,2 202,,,new +,,,,,,,
RCVR Phase,090,2 203,,,new +,,,,,,,
RCVR MCACC,090,2 204,,,new + varies from master file,,,,,,,
RCVR S. Retriever,090,2 205,,,new +,,,,,,,
RCVR exit (return),093,2 9,,,OBCs reversed,,,,,,,
RCVR input att,094,2 7,,,OBCs reversed,,,,,,,
RCVR STANDARD/Dolby DD/DTS,094,2 8,,,OBCs reversed,,,,,,,
RCVR S. Direct,154,2 195,,,new +,,,,,,,
RCVR Menu/System Setup,155,2 214,,,OBCs reversed,,,,,,,
RCVR Status,155,2 221,,,OBCs reversed,,,,,,,
RCVR SR+,158,2 199,,,new +,,,,,,,
RCVR stereo/direct,159,2 192,,,OBCs reversed,,,,,,,
RCVR midnight,159,2 203,,,OBCs reversed,,,,,,,
RCVR THX,159,2 209,,,OBCs reversed,,,,,,,
RCVR Advanced surround,159,2 211,,,OBCs reversed,,,,,,,
RCVR sb ch mode,159,2 212,,,OBCs reversed,,,,,,,
RCVR Dialog Enhancement,159,2 222,,,new +? OBCs 007/159 in Master,,,,,,,
,,,,,,,,,,,,
iPod: Play,152,2,,,new +,,,,,,,
iPod: Pause,152,2 193,,,new +,,,,,,,
iPod: FRev,152,2 194,,,new +,,,,,,,
iPod: FFwd,152,2 195,,,new +,,,,,,,
iPod: Rev,152,2 196,,,new +,,,,,,,
iPod: Fwd,152,2 197,,,new +,,,,,,,
iPod: loop/repeat?,152,2 198,,,new + (race track icon),,,,,,,
iPod: shuffle?,152,2 199,,,new + (crossing arrows icon),,,,,,,
iPod: Disp,152,2 200,,,new +,,,,,,,
iPod: Mute,152,2 201,,,new +,,,,,,,
iPod: Stop,152,2 202,,,new +,,,,,,,
iPod: Up Arrow,152,2 208,,,new +,,,,,,,
iPod: Down Arrow,152,2 209,,,new +,,,,,,,
iPod: Right Arrow,152,2 210,,,new +,,,,,,,
iPod: Left Arow,152,2 211,,,new +,,,,,,,
iPod: Select/Enter,152,2 212,,,new +,,,,,,,
iPod: Return?,152,2 213,,,new +,,,,,,,
iPod: Menu?,152,2 214,,,new +,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Capn Trips' notes on modified file (based on learns from VSX2016):,,,,,,,,,,,,,
"new functions identified with a ""+"" somewhere in the notes column",,,,,,,,,,,,,
(1) Deleted all CD functions; re-sorted by OBC (mostly) - but kept INPUT section,,,,,,,,,,,,,
(2) 6 new INPUTs identified,,,,,,,,,,,,,
(3) 2 new Tuner functions,,,,,,,,,,,,,
"(4) RCVR (Digit 9) is UNLABELED as a RCVR function, yet sent the listed signal.",,,,,,,,,,,,,
(5) Many 2-byte functions discovered to be listed in REVERSE order!,,,,,,,,,,,,,
"     These are annotated as ""OBCs reversed"" (others suspected)",,,,,,,,,,,,,
"(6) All iPod functions are ""new +"" (I have no iPod, so can't test them)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
