Name:,Yamaha RX-V1300,,,,v8.18,,,,,,,CURRENT DATA
mute,028,,mute,10 - mute,,,,,,,,
channel up,,,channel up,,,,,,,,,
channel down,,,channel down,,,,,,,,,
power,,,power,14 - Discrete On,,,,,,,,15 - Discrete Off
enter,,,enter,,,,,,,,,
tv/vcr,,,tv/video,,,,,,,,,
last (prev ch),,,last,,,,,,,,,
menu,,,menu,,,,,,,,,
program guide,,,guide,,,,,,,,,
up arrow,,,up arrow,,,,,,,,,
down arrow,,,down arrow,,,,,,,,,
left arrow,,,left arrow,,,,,,,,,
right arrow,,,right arrow,,,,,,,,,
select,,,select,,,,,,,,,
sleep,087,,sleep,,,,,,,,,
pip on/off,,,pip,,,,,,,,,
on screen display,194,,info,,,,,,,,,
pip swap,,,swap,,,,,,,,,
pip move,,,move,,,,,,,,,
play,,,play,21 - VCR1,,,,,,,,
pause,,,pause,17 - Tuner,,,,,,,,
rewind,,,rewind,18 - CD-R,,,,,,,,
fast fwd,,,fast fwd,20 - CBL/SAT,,,,,,,,
stop,,,stop,19 - DVD,,,,,,,,
record,,,record,,,,,,,,,
exit,,,exit,,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,,,next track,,,,,,,,,
prev track,,,prev track,,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,freeze,,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,,,slow+,,,,,,,,,
slow-,,,slow-,,,,,,,,,
D-TV/LD,084,,x2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
Discrete On,029,,phantom1,,,,,,,,,
Discrete Off,030,,phantom2,,,,,,,,,
CD,021,,phantom3,,,,,,,,,
Tuner,022,,phantom4,,,,,,,,,
CD-R,025,,phantom5,,,,,,,,,
DVD,193,,DiscreteON,,,,,,,,,
CBL/SAT,192,,DiscreteOFF,,,,,,,,,
VCR1,015,,phantom8,,,,,,,,,
VCR2/DVR,019,,phantom9,,,,,,,,,
V-AUX,085,,phantom10,,,,,,,,,
6 Ch Input,135,,setup,,,,,,,,,
PHONO,020,,light,,,,,,,,,
MD/TAPE,201,,my system,,,,,,,,,
Minus,,,macro1,,,,,,,,,
Plus,,,macro2,,,,,,,,,
TEST,133,,macro3,,,,,,,,,
STEREO/EFFECT,086,,macro4,,,,,,,,,
Tuner Toggle (A/B/C/D/E),018,,learn1,,,,,,,,,
Tuner Up,016,,learn2,,,,,,,,,
Tuner Down,017,,learn3,,,,,,,,,
CONCERT HALL,136,,learn4,,,,,,,,,
CHURCH,137,,,,,,,,,,,
JAZZ CLUB,138,,,,,,,,,,,
ROCK CONCERT,139,,,,,,,,,,,
ENTERTAINMENT,140,,,,,,,,,,,
MUSIC VIDEO,141,,,,,,,,,,,
TV THEATER,142,,,,,,,,,,,
MOVIE THEATER 1,143,,,,,,,,,,,
MOVIE THEATER 2,144,,,,,,,,,,,
DOLBY/DTS/SUR,145,,,,,,,,,,,
SURROUND SELECT,150,,,,,,,,,,,
,,,,,,,,,,,,
Level,134,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
 I learned the buttons from the RS remote and/or from Yamaha,,,,,,,,,,,,,
 published descrete code table in HEX - used only AMP functions.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Select your remote from the remote list on the left,,,,,,,,,,,,,
Go to the buttons tab on the bottom and fill in the button,,,,,,,,,,,,,
mappings to your liking. I only did few for use in macros.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Mar 28, 2004",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Frank Virsik 3/28/2004,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
