Name:,Yamaha RX-V2095,,,,v8.21,,,,,,,CURRENT DATA
CD,120,,9,11 - Phono,,,,,,,,
DVD,122,,vol up,01 - Volume Up,,,,,,,,
Phono,116,,vol down,00 - Volume Down,,,,,,,,
-,121,,mute,02 - mute,,,,,,,,
+,117,,channel up,,,,,,,,,
A/B/C/D/E,119,,channel down,,,,,,,,,
Tuner,118,,power,03 - Power,,,,,,,,
TV/DBS,100,,enter,,,,,,,,,
V-Aux,104,,tv/vid,,,,,,,,,
On Screen,175,,prev,,,,,,,,,
Sleep,106,,menu,,,,,,,,,
Left Arrow,002,,guide,,,,,,,,,
Right Arrow,254,,up arrow,24 - up arrow,,,,,,,,
Ext. Dec.,194,,down arrow,25 - down arrow,,,,,,,,
Effect,102,,left arrow,20 - left arrow,,,,,,,,
Up Arrow,000,,right arrow,21 - right arrow,,,,,,,,
Down Arrow,252,,select,,,,,,,,,
Church,063,,sleep,,,,,,,,,
Hall 1,061,,pip,,,,,,,,,
Jazz Club,067,,info,18 - On Screen,,,,,,,,
Hall 2,065,,swap,,,,,,,,,
Stadium,062,,move,,,,,,,,,
TV Theater,125,,play,28 - Jazz Club,,,,,,,,
Concert Video,066,,pause,36 - Movie Theater 2,,,,,,,,
Movie Theater 1,129,,rewind,27 - Hall 1,,,,,,,,
Rock Concert,060,,fwd,34 - Rock Concert,,,,,,,,
Entertainment,064,,stop,37 - DD/DTS,,,,,,,,
Movie Theater 2,127,,record,33 - Movie Theater 1,,,,,,,,
DD/DTS,131,,exit,,,,,,,,,
Speaker Level,190,,surround,,,,,,,,,
Test Tone,192,,input,,,,,,,,,
Exit,131,,+100,,,,,,,,,
,,,fav,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,23 - Effect,,,,,,,,
,,,f rew,31 - TV Theater,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
