Name:,JVC RM-SR518U remote control,,,,v8.30,,,,,,,CURRENT DATA
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
JVC models the RM-SR518U is known to work with,,,,,,,,,,,,,
"RX-552V RCA jacks only for A/V, no S-Video",,,,,,,,,,,,,
RX-552VBK,,,,,,,,,,,,,
RX-518VBK,,,,,,,,,,,,,
DSTP518,,,,,,,,,,,,,
DSTP522,,,,,,,,,,,,,
,,,,,,,,,,,,,
It may work with any older JVC receiver that has only one Video input,,,,,,,,,,,,,
and no DVD input.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Center and rear surround volumes are codes with the Level Control,,,,,,,,,,,,,
shift and the four surround buttons pressed. I suppose with many JP1,,,,,,,,,,,,,
remotes you could assign your own shift button.,,,,,,,,,,,,,
,,,,,,,,,,,,,
CD-DISC followed by num 1 through 7/P sends disc change commands,,,,,,,,,,,,,
to JVC CD players. You'll need a device combiner to combine the,,,,,,,,,,,,,
"CD/0072 codes 009, 007, 011, 004, 008, 006, 005 with this.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Newer JVC remotes also use 069, 073, 197, 070, 074 for",,,,,,,,,,,,,
"8 through 9, 0, 10 and +10 for CD changers of higher capacity.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
