Name:,Solidtek ACK-571 IR Keyboard_KM,,,,v9.12,,,,,,,CURRENT DATA
Right Alt,111,,macro2,,,,,,,,,
Right Shift,078,,macro3,,,,,,,,,
Tab,089,,macro4,,,,,,,,,
Windows Key,108,,1s,,,,,,,,,
'',058,,2s,,,,,,,,,
'-,055,,3s,,,,,,,,,
"',",120,,4s,,,,,,,,,
'.,116,,,,,,,,,,,
'/,117,,,,,,,,,,,
';,101,,,,,,,,,,,
'[,038,,,,,,,,,,,
'\,052,,,,,,,,,,,
'],039,,,,,,,,,,,
'`,073,,,,,,,,,,,
'=,056,,,,,,,,,,,
'Auu8-keys4,010,,,,,,,,,,,
'Aux-L2-keys2,123,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Upgrade protocol 0 = 01 F1 (S3C8+) Solidtek ACK-571 IR Keyboard (PB v3.12),,,,,,,,,,,,,
 43 8C 11 8B 16 89 C4 10 05 08 00 EA 01 24 00 EA ,,,,,,,,,,,,,
 01 24 10 00 03 8E 01 13 FF FF 04 20 11 08 04 F6 ,,,,,,,,,,,,,
 FF 55 08 C1 F0 C0 02 01 F6 FF 55 19 05 F6 01 46 ,,,,,,,,,,,,,
 6C 06 F6 01 0A FB 0F C6 F8 88 88 F6 01 58 6A F2 ,,,,,,,,,,,,,
 46 29 01 F6 01 46 B6 04 01 B6 05 10 F6 01 46 F6 ,,,,,,,,,,,,,
 01 46 8D 01 46 2C 08 10 C0 C0 C1 2A FA AF,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Upgrade protocol 0 = 01 F1 (HCS08) Solidtek ACK-571 IR Keyboard (PB v4.00),,,,,,,,,,,,,
 20 19 22 48 11 89 C4 10 05 08 00 EA 01 38 00 EA ,,,,,,,,,,,,,
 01 38 10 00 03 8E 01 27 FF FF 04 3C AA B6 61 AD ,,,,,,,,,,,,,
 37 B7 62 62 BB 62 AD 30 B7 62 CD FF 5F 6E 06 63 ,,,,,,,,,,,,,
 CD FF 92 24 0E 45 88 88 CD FF 74 3B 63 F2 10 A3 ,,,,,,,,,,,,,
 CD FF 5F B6 61 A8 01 B7 61 B6 62 A8 10 B7 62 CD ,,,,,,,,,,,,,
 FF 5F CD FF 5F CC FF 5F AE 08 44 39 63 5B FB B6 ,,,,,,,,,,,,,
 63 81,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
