Name:,Pioneer DV-563-AS and DV-588-AS DVD Player,,,,v8.33,,,,,,,CURRENT DATA
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
"Mark Pierson reported: when you select the 15-1994 as your remote,",,,,,,,,,,,,,
"the following error message will appear ""Protocol Code cannot be",,,,,,,,,,,,,
"calculated or is not available"".",,,,,,,,,,,,,
Mark Pierson's solution: The 1994 uses a different version of the,,,,,,,,,,,,,
Pioneer DVD protocol.  Select PIONEER DVD as the protocol.,,,,,,,,,,,,,
,,,,,,,,,,,,,
rmassey: …found the discrete ON/OFF codes from posted Pioneer,,,,,,,,,,,,,
codes in the Pronto section on RemoteCentral.com:,,,,,,,,,,,,,
Discrete ON EFC/OBC 031/186,,,,,,,,,,,,,
Discrete OFF EFC/OBC 035/187,,,,,,,,,,,,,
,,,,,,,,,,,,,
"rmassey notes: ""I can't get Discrete ON to work, (not sure why) but",,,,,,,,,,,,,
I can use the Play button to do the same function in a macro.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
