Name:,Panasonic DVD Master,,,,v9.13,,,,,,,CURRENT DATA,
cinema / concert,192,0,replay,65 - quick replay,,,,,,,,,27
zoom,193,0,advance,38 - Comm. Skip,,,,,,,,,29
HDD,194,0,,,,,,,,,,,
DVD,195,0,thumbs up (green),,,,,,,,,,2C
Flex Record,199,0,thumbs down (red),,,,,,,,,,2D
bass,212,0,audio/CC,24 - Audio,,,,,,,,,37
Dialogue Enhance,213,0,,,,,,,,,,,
one touch memory,214,0,,,,,,,,,,,
Group,224,0,,,,,,,,,,,
Audio Only,225,0,,,,,,,,,,,
Page,229,0,,,,,,,,,,,
Text,232,0,,,,,,,,,,,
Remaster,233,0,,,,,,,,,,,
sleep,235,0,,,,,,,,,,,
ResetGuide,237,0,,,,,,,,,,,
shift,242,0,,,,,,,,,,,
EXT Link (1),244,0,,,,,,,,,,,
RSV Mistake,253,0,,,,,,,,,,,
DVD Mode (VCR combo),255,0,,,,,,,,,,,
,,,,,,,,,,,,,
Blue,064,1,,,EH55,,,,,,,,
Red,065,1,,,EH55,,,,,,,,
Green,066,1,,,EH55,,,,,,,,
Yellow,067,1,,,EH55,,,,,,,,
Pop-Up Menu,080,1,,,BD Bluray,,,,,,,,
PIP,086,1,,,BD Bluray,,,,,,,,
Secondary Audio,087,1,,,BD Bluray,,,,,,,,
Dial CW,096,1,,,EH55 turn dial clockwise,,,,,,,,
Dial CCW,096,1,,,EH55 turn dial counter clockwise,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,,
DVD1 mode uses sub-devices 0 and 1,,,,,,,,,,,,,,
DVD2 mode uses sub-devices 16 and 17,,,,,,,,,,,,,,
DVD3 mode uses sub-devices 32 and 33,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
