Name:,keymap-master Device Upgrade,,,,v8.32,,,,,,,CURRENT DATA
rewind,251,,play,29 - play,,,,,,,,
fast fwd,122,,pause,30 - pause,,,,,,,,41 - Pause-
stop,117,,rewind,31 - rewind,,,,,,,,
record,244,,fast fwd,32 - fast fwd,Server,,,,,,,
f.fwd/next track,123,,stop,33 - stop,,,,,,,,
f.rew/prev track,250,,record,34 - record,,,,,,,,
+100,,,exit,19 - exit,,,,,,,,46 - Clear
pip on/off,036,,surround,45 - Eject,PBC,,,,,,,
pip swap,231,,input,,URL,,,,,,,
pip move,247,,+100,,Setup,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
Title,234,,device button,,,,,,,,,
Pause-,229,,next track,f.fwd/next track,SlowMo back,,,,,,,
Home,228,,prev track,f.rew/prev track,,,,,,,,
Audio,104,,shift-left,,,,,,,,,
Angle,235,,shift-right,,,,,,,,,
Eject,170,,pip freeze,,,,,,,,,
Clear,038,,slow,,,,,,,,,
ssl,111,,eject,,,,,,,,,
consumer Html,115,,slow+,,,,,,,,,
A-B,106,,slow-,,,,,,,,,
Frame Forward,108,,x2,,,,,,,,,
Reload,103,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,47 - ssl,,,,,,,,
,,,phantom2,48 - consumer html,,,,,,,,
,,,phantom3,49 - a-b,,,,,,,,
,,,phantom4,51 - reload,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,1s,,,,,,,,,
,,,2s,,,,,,,,,
,,,3s,,,,,,,,,
,,,4s,50 - frame forward,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
