Name:,Philips DVDR985 DVD recorder,,,,v7.32,,,,,,,CURRENT DATA
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
This setup copies most of the keys from the original remote.,,,,,,,,,,,,,
It is optimized for use without the tuner/timer functions_ as I do not use them.,,,,,,,,,,,,,
It is based on information from this message on the JP1 site,,,,,,,,,,,,,
,,,,,,,,,,,,,
http://groups.yahoo.com/group/jp1/message/20632,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
