Name:,Cinevision DVD player,,,,v8.18,,,,,,,CURRENT DATA
num 1,027,,1,01 - num 1,,,,,,,,
num 2,020,,2,02 - num 2,,,,,,,,
num 3,024,,3,03 - num 3,,,,,,,,
num 4,022,,4,04 - num 4,,,,,,,,
num 5,026,,5,05 - num 5,,,,,,,,
num 6,165,,6,06 - num 6,,,,,,,,
num 7,169,,7,07 - num 7,,,,,,,,
num 8,167,,8,08 - num 8,,,,,,,,
num 9,171,,9,09 - num 9,,,,,,,,
Angle,036,,vol up,,,,,,,,,
Audio,042,,vol down,,,,,,,,,
Clear,166,,mute,,,,,,,,,
Display,023,,channel up,33 - Skip Forward,,,,,,,,
DVD,145,,channel down,34 - Skip Reverse,,,,,,,,
Marker,201,,power,24 - power,,,,,,,,
Menu,043,,enter,14 - DVD,,,,,,,,
Menu Down,037,,tv/vid,28 - Repeat A-B,,,,,,,,
Menu Left,233,,prev,27 - Repeat,,,,,,,,
Menu Right,231,,menu,16 - menu,,,,,,,,
Menu Up,170,,guide,32 - Setup,,,,,,,,
Open/Close,150,,up arrow,20 - Menu Up,,,,,,,,
Pause / Step,021,,down arrow,17 - Menu Down,,,,,,,,
Play,153,,left arrow,18 - Menu Left,,,,,,,,
Power,149,,right arrow,19 - Menu Right,,,,,,,,
Program,106,,select,31 - Select/Enter,,,,,,,,
Random,105,,angle/sleep,10 - Angle,,,,,,,,
Repeat,107,,pip,,,,,,,,,
Repeat A-B,104,,info,13 - Display,,,,,,,,
Return,168,,swap,,,,,,,,,
Search,199,,move,,,,,,,,,
Select/Enter,229,,play,23 - play,,,,,,,,
Setup,102,,pause,22 - Pause / Step,,,,,,,,
Skip Forward,148,,rewind,36 - Slow Reverse,,,,,,,,
Skip Reverse,152,,fast fwd,35 - Slow Forward,,,,,,,,
Slow Forward,154,,stop,37 - stop,,,,,,,,
Slow Reverse,197,,record,21 - Open/Close,,,,,,,,
Stop,025,,exit,12 - Clear,,,,,,,,
Subtitle,101,,surround,,,,,,,,,
Title,039,,audio/CC,11 - Audio,,,,,,,,
Zoom,196,,+100,,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,advance,30 - Search,,,,,,,,
,,,replay,29 - Return,,,,,,,,
,,,next track,33 - Skip Forward,,,,,,,,
,,,prev track,34 - Skip Reverse,,,,,,,,
,,,PVR menu,39 - Title,,,,,,,,
,,,subtitle,38 - Subtitle,,,,,,,,
,,,slow,40 - Zoom,,,,,,,,
,,,thumbs up,25 - Program,,,,,,,,
,,,thumbs down,26 - Random,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
This is the official UEI setup code,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
