Name:,Philips DVDR80 DVD (15-1994),,,,v7.41a,,,,,,,CURRENT DATA
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
This setup copies most of the keys from the original remote.,,,,,,,,,,,,,
May want to fine some labels for the guide+ blue/green stuff,,,,,,,,,,,,,
Based on the 985 code available here,,,,,,,,,,,,,
,,,,,,,,,,,,,
Using some key moves for shifted keys,,,,,,,,,,,,,
ex: record (speed) select is on shift-record,,,,,,,,,,,,,
,,,,,,,,,,,,,
kept th ff/rew scan from the original 985 remote,,,,,,,,,,,,,
(I use them more then chapter skip - on shifted ff/rew),,,,,,,,,,,,,
,,,,,,,,,,,,,
There's A LOT of codes for this thing,,,,,,,,,,,,,
I added the ones I found (in no particilar order),,,,,,,,,,,,,
Didn't test all the weird ones,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
