Name:,CyberHome DVR-1500,,,,v8.01,,,,,,,CURRENT DATA
,,,channel down,45 - source,,,,,,,,
power,142,,power,14 - power,,,,,,,,
enter,220,,enter,39 - c-skip,,,,,,,,
bookmark,212,,tv/vid,36 - c,,,,,,,,
rec mode,204,,prev,35 - edit,,,,,,,,
menu,130,,menu,18 - menu,,,,,,,,
timer,133,,guide,28 - title,,,,,,,,
up arrow,196,,up arrow,20 - up arrow,,,,,,,,
down arrow,157,,down arrow,21 - down arrow,,,,,,,,
left arrow,156,,left arrow,22 - left arrow,,,,,,,,
right arrow,200,,right arrow,23 - right arrow,,,,,,,,
setup,192,,select,15 - enter,,,,,,,,
eject,154,,sleep,17 - rec mode,,,,,,,,
zoom,149,,pip,27 - display,,,,,,,,
display,208,,info,19 - timer,,,,,,,,
title,193,,swap,29 - subtitle,,,,,,,,
subtitle,146,,move,37 - audio,,,,,,,,
play,134,,play,30 - play,,,,,,,,
pause,241,,pause,31 - pause,,,,,,,,
rewind,159,,rewind,32 - rewind,,,,,,,,
fast fwd,221,,fwd,33 - fast fwd,,,,,,,,
stop,158,,stop,34 - stop,,,,,,,,25 - eject
edit,138,,record,44 - record,,,,,,,,
c,209,,exit,13 - dvd tv live,,,,,,,,
audio,135,,surround,,,,,setup,,,,
setup,192,,input,,,,,setup,,,,
c-skip,205,,+100,,,,,,,,,
next track,153,,fav,,,,,,,,,
prev track,152,,device button,,,,,,,,,
slow,155,,f fwd,40 - next track,,,,,,,,
digest,150,,f rew,41 - prev track,,,,,,,,
record,213,,shift-left,,,,,,,,,
source,151,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,26 - zoom,,,,,,,,
,,,L2,43 - digest,,,,,,,,
,,,L3,35 - edit,,,,,,,,
,,,L4,42 - slow,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
