Name:,AMW-S99,,,,v9.04,,,,,,,CURRENT DATA
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Next Track and Prev Track on the original remote are accomplished,,,,,,,,,,,,,
"by holding down Forward and Rewind, respectively.",,,,,,,,,,,,,
"Since URC remotes have Next/Prev Track buttons, this upgrade",,,,,,,,,,,,,
uses the Device Combiner to simulate a 1 second hold when these,,,,,,,,,,,,,
buttons are pressed.,,,,,,,,,,,,,
,,,,,,,,,,,,,
To eliminate the possibility of accidently holding the FWD/REW,,,,,,,,,,,,,
"buttons too long, in IR, add the following macros:",,,,,,,,,,,,,
FWD: Shift-FWD; Phantom1,,,,,,,,,,,,,
REW: Shift-REW; Phantom1,,,,,,,,,,,,,
"or, if you're using an extender, add the following DSM's:",,,,,,,,,,,,,
DVD FWD: Shift-FWD; X_Cancel,,,,,,,,,,,,,
DVD REW: Shift-REW; X_Cancel,,,,,,,,,,,,,
,,,,,,,,,,,,,
Many functions of the original remote are not mapped to buttons,,,,,,,,,,,,,
"since I never use them, but they are available if needed.",,,,,,,,,,,,,
,,,,,,,,,,,,,
The function codes and notes were taken from the original RM,,,,,,,,,,,,,
"version, so all credit is due to the original author.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
