Name:,CyberHome DVD CH-505,,,,v9.19,,,,,,,,CURRENT DATA
num 0,041,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,123,,1,01 - num 1,,,,,,,,,15
num 2,117,,2,02 - num 2,,,,,,,,,16
num 3,121,,3,03 - num 3,,,,,,,,,17
num 4,058,,4,04 - num 4,,,,,,,,,19
num 5,052,,5,05 - num 5,,,,,,,,,1A
num 6,056,,6,06 - num 6,,,,,,,,,1B
num 7,059,,7,07 - num 7,,,,,,,,,1C
num 8,053,,8,08 - num 8,,,,,,,,,1D
num 9,057,,9,09 - num 9,,,,,,,,,1E
repeat 1/all,187,,vol up,,,,,,,,,,04
repeat a/b,180,,vol down,,,,,,,,,,05
mute,186,,mute,16 - enter,,,,,,,,,08
effect,184,,channel up,41 - next track,,,,,,,,,06
intro,168,,channel down,42 - prev track,,,,,,,,,07
power,054,,power,15 - power,,,,,,,,,03
enter,228,,auto,28 - display,,,,,,,,,13
bookmark,104,,,,,,,,,,,,
return,055,,,,,,,,,,,,
menu,183,,menu,19 - menu,,,,,,,,,20
Program,120,,,,,,,,,,,,
up arrow,164,,up arrow,21 - up arrow,,,,,,,,,29
down arrow,248,,down arrow,22 - down arrow,,,,,,,,,2A
left arrow,244,,left arrow,23 - left arrow,,,,,,,,,2B
right arrow,037,,right arrow,24 - right arrow,,,,,,,,,2C
setup,169,,enter,16 - enter,,,,,,,,,88
eject,247,,sleep,,,,,,,,,,C3
zoom,122,,,,,,,,,,,,
display,101,,,,,,,,,,,,
title,165,,,,,,,,,,,,
subtitle,229,,,,,,,,,,,,
play,182,,play,31 - play,,,,,,,,,0C
pause,233,,pause,32 - pause,,,,,,,,,0F
rewind,250,,rewind,33 - rewind,,,,,,,,,0B
fast fwd,232,,fast fwd,34 - fast fwd,,,,,,,,,0D
stop,246,,stop,35 - stop,,,,,,,,,0E
goto,119,,record,26 - eject,,,,,,,,,10
c - exit,105,,exit,18 - return,,,,,,,,,98
audio,118,,,,,,,,,,,,
angle,100,,av,18 - return,,,,,,,,,18
+10,040,,+10,40 - +10,,,,,,,,,2F
next track,249,,,,,,,,,,,,
prev track,245,,,,,,,,,,,,
slow,251,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,sp/lp,27 - zoom,,,,,,,,,14
,,,bright+ ($_ch+),,,,,,,,,,C6
,,,bright- ($_ch-),,,,,,,,,,C7
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3A
,,,phantom2,,,,,,,,,,3B
,,,phantom3,,,,,,,,,,3C
,,,phantom4,,,,,,,,,,3D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,light,,,,,,,,,,30
,,,home theater,,,,,,,,,,12
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,E,,,,,,,,,,27
,,,F,,,,,,,,,,28
,,,G,,,,,,,,,,2D
,,,H,,,,,,,,,,2E
,,,A,,,,,,,,,,23
,,,B,,,,,,,,,,24
,,,C,,,,,,,,,,25
,,,D,,,,,,,,,,26
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,color+ ($_vol+),,,,,,,,,,C4
,,,color- ($_vol-),,,,,,,,,,C5
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
