Name:,Prima DVD,,,,v8.29,,,,,,,CURRENT DATA
Menu Right,081,,down arrow,20 - Menu Down,,,,,,,,
Menu Up,017,,left arrow,21 - Menu Left,,,,,,,,
Mute,076,,right arrow,22 - Menu Right,,,,,,,,
Open/Close,111,,select,17 - Enter,,,,,,,,
Pause,046,,angle/sleep,11 - Angle,,,,,,,,
Play,211,,pip,,,,,,,,,
Power,044,,info,15 - Display,,,,,,,,
Repeat A-B,112,,swap,,,,,,,,,
Return,110,,move,,,,,,,,,
Rewind / Previous,078,,play,27 - play,,,,,,,,
Search,206,,pause,26 - pause,,,,,,,,
Setup,178,,rewind,31 - Rewind / Previous,,,,,,,,
Sleep,241,,fast fwd,18 - Forward / Next,,,,,,,,
Slow,047,,stop,36 - stop,,,,,,,,
Stop,142,,record,25 - Open/Close,,,,,,,,
Subtitle,016,,exit,30 - Return,,,,,,,,
Title,048,,surround,,,,,,,,,
TV Menu,079,,audio/CC,12 - Audio,,,,,,,,
TV/DVD,018,,+100,,,,,,,,,
VOL - / TV left,207,,fav/scan,,,,,,,,,
VOL+ / TV right,175,,device button,,,,,,,,,
,,,advance,32 - Search,,,,,,,,
,,,replay,29 - Repeat A-B,,,,,,,,
,,,next track,18 - Forward / Next,,,,,,,,
,,,prev track,31 - Rewind / Previous,,,,,,,,
,,,PVR menu,38 - Title,,,,,,,,
,,,subtitle,37 - Subtitle,,,,,,,,
,,,slow,35 - Slow,,,,,,,,
,,,thumbs up,33 - Setup,,,,,,,,
,,,thumbs down,34 - Sleep,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
DVD/1016 is the official UEI code.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
