Name:,Pioneer DV-F727,,,,v7.58,,,,,,,CURRENT DATA
function memory,005,,channel down,16 - disc-,,,,,,,,
dnr,149,,power,00 - power,,,,,,,,
disc-,072,,enter,,,,,,,,,
disc+,075,,tv/vid,,,,,,,,,
jog-,212,,prev,06 - setup,,,,,,,,
jog+,213,,menu,07 - menu,,,,,,,,
stop,253,,guide,47 - sub setup,,,,,,,,
play,254,,up arrow,09 - up,,,,,,,,
pause,002,,down arrow,10 - down,,,,,,,,
previous,000,,left arrow,11 - left,,,,,,,,
next,252,,right arrow,12 - right,,,,,,,,
rev,003,,select,13 - select,,,,,,,,
fwd,255,,sleep,,,,,,,,,
return,140,,pip,,,,,,,,,
step-,029,,info,02 - display,,,,,,,,
step+,162,,swap,,,,,,,,,
search,163,,move,,,,,,,,,
num 1,225,,play,21 - play,,,,,,,,
num 2,223,,pause,22 - pause,,,,,,,,
num 3,227,,rewind,25 - rev,,,,,,,,
clear,208,,fwd,26 - fwd,,,,,,,,
num 4,220,,stop,20 - stop,,,,,,,,
num 5,224,,record,,,,,,,,,
num 6,222,,exit,27 - return,,,,,,,,
+10,034,,surround,,,,,,,,,
num 7,226,,input,,,,,,,,,
num 8,093,,+100,,,,,,,,,
num 9,097,,fav,,,,,,,,,
num 0,221,,device button,,,,,,,,,
random,014,,f fwd,24 - next,,,,,,,,
repeat,204,,f rew,23 - previous,,,,,,,,
a-b,077,,shift-left,,,,,,,,,
program,076,,shift-right,,,,,,,,,
sub setup,009,,pip freeze,,,,,,,,,
last memory,142,,slow,,,,,,,,,
condition memory,161,,eject,,,,,,,,,
play mode,010,,slow+,,,,,,,,,
hi-lite,015,,slow-,,,,,,,,,
previous scan,073,,x2,,,,,,,,,
best,071,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
