Name:,Limit 8070 DVD Player v1,,,,v7.07,,,,,,,CURRENT DATA
skip -,058,0,channel up,14 - skip +,,,,,,,,
skip +,054,0,channel down,13 - skip -,,,,,,,,
standby,119,0,power,15 - standby,,,,,,,,
clear,181,0,auto,27 - subtitle,,,,,,,,
slow,055,0,tv/vcr,,,,,,,,,
mute,248,0,prev ch,,,,,,,,,
menu,251,0,menu,19 - menu,,,,,,,,
setup,037,0,guide,,,,,,,,,
up,185,0,up arrow,21 - up,,,,,,,,
down,057,0,down arrow,22 - down,,,,,,,,
left,249,0,left arrow,23 - left,,,,,,,,
right,121,0,right arrow,24 - right,,,,,,,,
OK,165,0,enter,25 - OK,,,,,,,,
mark,120,0,sleep,,,,,,,,,
subtitle,043,0,pip on/off,,,,,,,,,
display,250,0,display,,,,,,,,,
angle,039,0,pip swap,,,,,,,,,
zoom,247,0,pip move,,,,,,,,,
play,122,0,play,31 - play,,,,,,,,
pause/step,186,0,pause,32 - pause/step,,,,,,,,
rewind,244,0,rewind,33 - rewind,,,,,,,,
fast fwd,116,0,fast fwd,34 - fast fwd,,,,,,,,
stop,180,0,stop,35 - stop,,,,,,,,
program,246,0,record,37 - title,,,,,,,,
title,059,0,exit,,,,,,,,,
audio,041,0,surround,,,,,,,,,
digest,052,0,av,28 - display,,,,,,,,
a-b repeat,187,0,+10,44 - 10+,,,,,,,,
repeat,183,0,fav/scan,,,,,,,,,
eject,118,0,device button,,,,,,,,,
search,117,0,shift-up,,,,,,,,,
10+,245,0,sp/lp,42 - eject,,,,,TV,$A5,,
vol+,056,0,shift-left,,,,,,TV,$A9,,
vol-,123,0,normalize,,,,,,,,,
,,,a,41 - repeat,,,,,,,,
,,,b,40 - a-b repeat,,,,,,,,
,,,c,26 - mark,,,,,,,,
,,,color+ ($_vol+),,,,,,,,,
,,,color- ($_vol-),,,,,,,,,
,,,bright+ ($_ch+),,,,,,,,,
,,,bright- ($_ch-),,,,,,,,,
,,,d,,,,,,,,,
,,,e,16 - clear,,,,,,,,
,,,f,17 - slow,,,,,,,,
,,,g,43 - search,,,,,,,,
,,,h,39 - digest,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,descreteOFF,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Contributed by: Jaywest,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
