Name:,Samsung BDP1600,,,,v9.20,,,,,,,,CURRENT DATA
zoom,112,,,,,,,,,,,,
rewind,080,,,,,,,,,,,,
fast fwd,079,,play,28 - play,,,,,,,,,0C
stop,076,,pause,44 - pause,,,,,,,,,0F
open/close,014,,rewind,30 - rewind,,,,,,,,,0B
f.fwd/next track,078,,fast fwd,31 - fast fwd,,,,,,,,,0D
f.rew/prev track,143,,stop,32 - stop,,,,,,,,,0E
subtitle,241,,record,27 - repeat,,,,,,,,,10
audio,239,,exit,19 - return,,,,,,,,,23
repeat a-b,114,,,,,,,,,,,,
A,238,,av,18 - display/info,,,,,,,,,22
B,240,,-/--,12 - title menu,,,,,,,,,20
C,236,,,,,,,,,,,,
D,243,,,,,,,,,,,,
bonus view,044,,skip+,34 - f.fwd/next track,,,,,,,,,0A
pause,048,,skip-,35 - f.rew/prev track,,,,,,,,,09
exit,108,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,bright+,,,,,,,,,,86
,,,bright-,,,,,,,,,,87
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,magic,,,,,,,,,,02
,,,light/esc,,,,,,,,,,01
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,LCDEnter,,,,,,,,,,13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,A,39 - A,,,,,,,,,2D
,,,B,40 - B,,,,,,,,,2E
,,,C,41 - C,,,,,,,,,2F
,,,D,42 - D,,,,,,,,,30
,,,yellow,11 - cancel,,,,,,,,,2B
,,,blue,37 - audio,,,,,,,,,2C
,,,red,33 - open/close,,,,,,,,,29
,,,green,29 - zoom,,,,,,,,,2A
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,16/9,33 - open/close,,,,,,,,,18
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,color+,,,,,,,,,,84
,,,color-,,,,,,,,,,85
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
